CEG,lat_base,lon_base,lat_era5,lon_era5,cell_key
EOLCVBA030751-3-01,-14.39738888499994,-42.59426323699995,-14.5,-42.5,latm14p50_lonm42p50
EOLCVPE030806-4-01,-9.060335125999927,-38.141453129999945,-9.0,-38.25,latm9p00_lonm38p25
EOLCVRN030549-9-01,-5.049454302999948,-35.970497199999954,-5.0,-36.0,latm5p00_lonm36p00
EOLCVBA030727-0-01,-11.81705939099993,-41.40036500799994,-11.75,-41.5,latm11p75_lonm41p50
EOLCVRN030834-0-01,-5.443699183999968,-35.925087323999946,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN030416-6-01,-5.09680184299998,-36.19791496499994,-5.0,-36.25,latm5p00_lonm36p25
EOLCVRN030567-7-01,-5.094696021999937,-35.76283818199994,-5.0,-35.75,latm5p00_lonm35p75
EOLCVRN030898-6-01,-4.983029482999939,-37.02600759599994,-5.0,-37.0,latm5p00_lonm37p00
EOLCVBA030731-9-01,-14.331175193999968,-42.60066056299996,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA030732-7-01,-14.350859679999928,-42.608485617999975,-14.25,-42.5,latm14p25_lonm42p50
EOLCVRN030788-2-01,-5.42163611899997,-35.911980778999975,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN030515-4-01,-5.318985835999968,-35.87436466799994,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN030454-9-01,-4.935866186999931,-36.96782565299998,-5.0,-37.0,latm5p00_lonm37p00
EOLCVBA030725-4-01,-11.641863254999976,-41.35351066399994,-11.75,-41.25,latm11p75_lonm41p25
EOLCVBA031337-8-01,-11.87985877999995,-41.45525464199994,-12.0,-41.5,latm12p00_lonm41p50
EOLCVCE030294-5-01,-2.9087433639999745,-39.952876112999945,-3.0,-40.0,latm3p00_lonm40p00
EOLCVBA030456-5-01,-9.865163378999966,-41.08857274199994,-9.75,-41.0,latm9p75_lonm41p00
EOLCVBA030443-3-01,-9.852244455999935,-41.07428163099996,-9.75,-41.0,latm9p75_lonm41p00
EOLCVBA030455-7-01,-9.873939434999954,-41.11908175499997,-9.75,-41.0,latm9p75_lonm41p00
EOLCVRN030537-5-01,-6.028114104999929,-36.46620757499994,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN030552-9-01,-6.033374032999973,-36.493537586999935,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN030932-0-01,-5.376783800999931,-36.03468495299995,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN030933-8-01,-5.323963606999939,-36.046428284999934,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN030514-6-01,-5.278790751999964,-35.879595853999945,-5.25,-36.0,latm5p25_lonm36p00
EOLCVPE030789-0-01,-9.03179881699998,-38.048833068999954,-9.0,-38.0,latm9p00_lonm38p00
EOLCVBA030738-6-01,-14.430550963999965,-42.62414761999997,-14.5,-42.5,latm14p50_lonm42p50
EOLCVBA030608-8-01,-9.501618562999964,-40.87903455399993,-9.5,-41.0,latm9p50_lonm41p00
EOLCVBA031435-8-01,-14.42628410499998,-42.64643266899998,-14.5,-42.75,latm14p50_lonm42p75
EOLCVRN031372-6-01,-5.2259200979999605,-35.77663941399993,-5.25,-35.75,latm5p25_lonm35p75
EOLCVCE033756-0-01,-2.8472577459999684,-40.06712900599996,-2.75,-40.0,latm2p75_lonm40p00
EOLCVRN031071-9-01,-5.311749912999972,-35.960826501999975,-5.25,-36.0,latm5p25_lonm36p00
EOLCVBA033648-3-01,-11.609553052999956,-41.31720709199993,-11.5,-41.25,latm11p50_lonm41p25
EOLCVPI031749-7-01,-7.718251178999935,-40.677254491999975,-7.75,-40.75,latm7p75_lonm40p75
EOLCVPI031767-5-01,-7.769360975999973,-40.67714482099996,-7.75,-40.75,latm7p75_lonm40p75
EOLCVPI031766-7-01,-7.6979666199999315,-40.685532670999976,-7.75,-40.75,latm7p75_lonm40p75
EOLCVCE032012-9-01,-3.293005365999932,-39.29793967799998,-3.25,-39.25,latm3p25_lonm39p25
EOLCVCE030336-4-01,-3.230580583999938,-39.33088230799996,-3.25,-39.25,latm3p25_lonm39p25
EOLCVRN030516-2-01,-5.30653908499994,-35.89674240599993,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN030527-8-01,-5.294425007999962,-35.90210306399996,-5.25,-36.0,latm5p25_lonm36p00
EOLCVCE031814-0-01,-2.9542142839999315,-39.90185004399996,-3.0,-40.0,latm3p00_lonm40p00
EOLCVRN030519-7-01,-6.016481948999967,-36.466044857999975,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN030339-9-01,-5.127445499999965,-36.48304234499994,-5.25,-36.5,latm5p25_lonm36p50
EOLCVBA034777-9-01,-9.48442935299994,-40.90316214699993,-9.5,-41.0,latm9p50_lonm41p00
EOLCVBA031338-6-01,-11.861734918999955,-41.47678813699997,-11.75,-41.5,latm11p75_lonm41p50
EOLCVRN030545-6-01,-6.053379759999928,-36.54667015499996,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN030536-7-01,-5.056434502999935,-35.98893549299993,-5.0,-36.0,latm5p00_lonm36p00
EOLCVBA030753-0-01,-14.36907707399996,-42.60434392499997,-14.25,-42.5,latm14p25_lonm42p50
EOLCVRN030351-8-01,-5.23317426899996,-35.93307020199995,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN030615-0-01,-6.024818068999934,-36.51190346599998,-6.0,-36.5,latm6p00_lonm36p50
EOLCVCE030918-4-01,-4.662890291999929,-37.609753989999945,-4.75,-37.5,latm4p75_lonm37p50
EOLCVCE030925-7-01,-4.622077452999974,-37.689551628999936,-4.5,-37.75,latm4p50_lonm37p75
EOLCVCE030926-5-01,-4.61846578799998,-37.64714680599997,-4.5,-37.75,latm4p50_lonm37p75
EOLCVCE030924-9-01,-4.593860764999931,-37.68815782499996,-4.5,-37.75,latm4p50_lonm37p75
EOLCVCE030920-6-01,-4.590614697999968,-37.71848409999996,-4.5,-37.75,latm4p50_lonm37p75
EOLCVCE031482-0-01,-2.973435773999938,-39.880972966999934,-3.0,-40.0,latm3p00_lonm40p00
EOLCVBA031431-5-01,-14.449803558999974,-42.68946519799994,-14.5,-42.75,latm14p50_lonm42p75
EOLCVRN031427-7-01,-5.279830067999967,-35.80055853299996,-5.25,-35.75,latm5p25_lonm35p75
EOLCVCE032013-7-01,-3.2616086179999684,-39.28054023499993,-3.25,-39.25,latm3p25_lonm39p25
EOLCVBA030739-4-01,-14.470967592999957,-42.642494529999965,-14.5,-42.75,latm14p50_lonm42p75
EOLCVRN030551-0-01,-5.2925458649999655,-35.91361350899996,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN030832-3-01,-4.979671003999954,-36.98881385599998,-5.0,-37.0,latm5p00_lonm37p00
EOLCVBA033649-1-01,-11.586095630999978,-41.30790301899998,-11.5,-41.25,latm11p50_lonm41p25
EOLCVBA033652-1-01,-11.573544932999935,-41.29748922899995,-11.5,-41.25,latm11p50_lonm41p25
EOLCVCE031746-2-01,-7.737086629999965,-40.679030342999965,-7.75,-40.75,latm7p75_lonm40p75
EOLCVCE031747-0-01,-7.776589470999966,-40.68020201599995,-7.75,-40.75,latm7p75_lonm40p75
EOLCVRN031412-9-01,-5.291369351999947,-35.78843204999998,-5.25,-35.75,latm5p25_lonm35p75
EOLCVBA031344-0-01,-14.155444484999975,-42.485578990999954,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA031342-4-01,-14.13883689599993,-42.47669835999994,-14.25,-42.5,latm14p25_lonm42p50
EOLCVRN030671-1-01,-5.426821744999927,-35.85338593899996,-5.5,-35.75,latm5p50_lonm35p75
EOLCVBA030752-1-01,-14.298867263999966,-42.59086795999997,-14.25,-42.5,latm14p25_lonm42p50
EOLCVRN030934-6-01,-5.3567431539999575,-36.04533387099997,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN030931-1-01,-5.342641801999946,-36.07068285199995,-5.25,-36.0,latm5p25_lonm36p00
EOLCVCE030663-0-01,-3.2692521229999443,-39.21805722299996,-3.25,-39.25,latm3p25_lonm39p25
EOLCVCE030662-2-01,-3.2234412059999613,-39.290221566999946,-3.25,-39.25,latm3p25_lonm39p25
EOLCVCE030670-3-01,-3.1976106319999644,-39.366567670999984,-3.25,-39.25,latm3p25_lonm39p25
EOLCVRN030569-3-01,-5.071200685999941,-35.88621400499994,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN030503-0-01,-5.3612042399999496,-35.86170961499994,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN030512-0-01,-5.1157539649999535,-35.924468564999984,-5.0,-36.0,latm5p00_lonm36p00
EOLCVCE030369-0-01,-4.573841251999966,-37.68620266499994,-4.5,-37.75,latm4p50_lonm37p75
EOLCVRN030828-5-01,-5.485624535999932,-35.898368250999965,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN030609-6-01,-6.084401711999931,-36.57471726799997,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN030625-8-01,-6.053131729999961,-36.58137597399997,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN030378-0-01,-5.271045219999962,-35.92812196699998,-5.25,-36.0,latm5p25_lonm36p00
EOLCVPE031560-5-01,-8.903080991999957,-36.75792469999993,-9.0,-36.75,latm9p00_lonm36p75
EOLCVPE031574-5-01,-8.908958736999978,-36.73006743499997,-9.0,-36.75,latm9p00_lonm36p75
EOLCVRN031025-5-01,-6.050253769999927,-36.566382949999934,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN030860-9-01,-6.116944966999938,-36.69492656899996,-6.0,-36.75,latm6p00_lonm36p75
EOLCVRN030856-0-01,-6.016458452999927,-36.43778922699994,-6.0,-36.5,latm6p00_lonm36p50
EOLCVRN031811-6-01,-6.048423638999964,-36.46664578499997,-6.0,-36.5,latm6p00_lonm36p50
EOLCVPI031603-2-01,-7.365912856999955,-40.689127009999936,-7.25,-40.75,latm7p25_lonm40p75
EOLCVRN031026-3-01,-6.084308015999966,-36.54003639399997,-6.0,-36.5,latm6p00_lonm36p50
EOLCVBA031563-0-01,-10.612885550999977,-40.685230082999965,-10.5,-40.75,latm10p50_lonm40p75
EOLCVCE030895-1-01,-4.997720561999927,-36.914708864999966,-5.0,-37.0,latm5p00_lonm37p00
EOLCVCE030915-0-01,-4.987686956999937,-36.94677031499998,-5.0,-37.0,latm5p00_lonm37p00
EOLCVPI030639-8-01,-2.842883555999947,-41.69755141099995,-2.75,-41.75,latm2p75_lonm41p75
EOLCVRN030843-9-01,-5.13503209199996,-35.69096571899996,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN030831-5-01,-5.158362935999946,-35.68073467199997,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN030804-8-01,-5.144271441999933,-35.65993634199998,-5.25,-35.75,latm5p25_lonm35p75
EOLCVBA031341-6-01,-11.184106669999949,-42.705312523999964,-11.25,-42.75,latm11p25_lonm42p75
EOLCVBA031356-4-01,-11.086383607999949,-42.68114555699998,-11.0,-42.75,latm11p00_lonm42p75
EOLCVBA031518-4-01,-14.493943138999953,-42.654205057999945,-14.5,-42.75,latm14p50_lonm42p75
EOLCVBA031511-7-01,-14.477104090999944,-42.63907304799994,-14.5,-42.75,latm14p50_lonm42p75
EOLCVCE035197-0-01,-4.743971679999959,-37.328944139999976,-4.75,-37.25,latm4p75_lonm37p25
EOLCVCE031866-3-01,-4.747572766999952,-37.30751910699996,-4.75,-37.25,latm4p75_lonm37p25
EOLCVCE035219-5-01,-4.781287719999966,-37.29072471599994,-4.75,-37.25,latm4p75_lonm37p25
EOLCVRN030701-7-01,-5.105403837999972,-35.90172350599994,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN030699-1-01,-5.09648464299994,-35.90806298699994,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN032354-3-01,-5.077277577999951,-35.95545150899994,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN030700-9-01,-5.0629577289999474,-36.03156177799997,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN030702-5-01,-5.074278370999934,-36.01399485999997,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN032355-1-01,-5.066518866999957,-35.93328308699995,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN032356-0-01,-5.083902168999941,-35.903311954999936,-5.0,-36.0,latm5p00_lonm36p00
EOLCVRN030876-5-01,-5.488667826999972,-35.99931761499994,-5.5,-36.0,latm5p50_lonm36p00
EOLCVCE031736-5-01,-2.9975710479999407,-39.73369360499999,-3.0,-39.75,latm3p00_lonm39p75
EOLCVCE030902-8-01,-5.023767298999928,-36.92878421499995,-5.0,-37.0,latm5p00_lonm37p00
EOLCVCE030914-1-01,-5.017268594999962,-36.94674774999993,-5.0,-37.0,latm5p00_lonm37p00
EOLCVRN032353-5-01,-5.87962588399995,-36.30790011099998,-6.0,-36.25,latm6p00_lonm36p25
EOLCVPB033665-3-01,-6.840929603999939,-36.79101966699994,-6.75,-36.75,latm6p75_lonm36p75
EOLCVPB033663-7-01,-6.904908663999947,-36.76536108999994,-7.0,-36.75,latm7p00_lonm36p75
EOLCVRN031015-8-01,-5.396380290999957,-35.95750177799994,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN030900-1-01,-5.475011674999962,-35.93846567199995,-5.5,-36.0,latm5p50_lonm36p00
EOLCVRN031887-6-01,-5.352699087999952,-35.80547218299995,-5.25,-35.75,latm5p25_lonm35p75
EOLCVRN033752-8-01,-5.057321516999934,-37.01703109699997,-5.0,-37.0,latm5p00_lonm37p00
EOLCVBA032350-0-01,-11.148748995999938,-42.70710955399994,-11.25,-42.75,latm11p25_lonm42p75
EOLCVMA033680-7-01,-2.6159538299999667,-42.660542961999965,-2.5,-42.75,latm2p50_lonm42p75
EOLCVBA034643-8-01,-10.430311342999971,-41.49260288499994,-10.5,-41.5,latm10p50_lonm41p50
EOLCVBA034636-5-01,-10.491844012999934,-41.43489588399996,-10.5,-41.5,latm10p50_lonm41p50
EOLCVBA034637-3-01,-10.451873639999974,-41.47846915499997,-10.5,-41.5,latm10p50_lonm41p50
EOLCVBA034613-6-01,-10.48720726099998,-41.510523270999954,-10.5,-41.5,latm10p50_lonm41p50
EOLCVBA034633-0-01,-10.51597259099998,-41.45704596599995,-10.5,-41.5,latm10p50_lonm41p50
EOLCVBA033626-2-01,-11.06237570899998,-42.667520019999984,-11.0,-42.75,latm11p00_lonm42p75
EOLCVBA033627-0-01,-11.060370193999972,-42.65360259099998,-11.0,-42.75,latm11p00_lonm42p75
EOLCVPI033144-9-01,-8.02075386699994,-40.646282834999965,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPI033143-0-01,-8.010995901999934,-40.65349139299997,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPI033136-8-01,-7.998769584999934,-40.63574489299998,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPI033141-4-01,-7.9938018099999795,-40.63440076299997,-8.0,-40.75,latm8p00_lonm40p75
EOLCVPI033140-6-01,-8.004622796999968,-40.61199300599998,-8.0,-40.5,latm8p00_lonm40p50
EOLCVPI033139-2-01,-7.992352995999965,-40.60494211199995,-8.0,-40.5,latm8p00_lonm40p50
EOLCVPI033138-4-01,-7.99085912399994,-40.58434538999995,-8.0,-40.5,latm8p00_lonm40p50
EOLCVBA032468-0-01,-11.07915172199995,-41.31208185299994,-11.0,-41.25,latm11p00_lonm41p25
EOLCVBA034692-6-01,-11.58342407799995,-41.35679635599996,-11.5,-41.25,latm11p50_lonm41p25
EOLCVBA035266-7-01,-9.969019883999977,-40.875631614999975,-10.0,-41.0,latm10p00_lonm41p00
EOLCVBA031738-1-01,-10.661768259999974,-41.51932458099998,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031740-3-01,-10.654957706999935,-41.497572574999936,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031741-1-01,-10.642527386999973,-41.497142433999954,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031744-6-01,-10.595985263999978,-41.49332103599994,-10.5,-41.5,latm10p50_lonm41p50
EOLCVBA031754-3-01,-10.647442675999969,-41.51075700399997,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031737-3-01,-10.66739952399996,-41.60403566599996,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031796-9-01,-10.677108935999968,-41.60556170399997,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031832-9-01,-10.705301506999945,-41.58469802199994,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031743-8-01,-10.647777992999975,-41.58616643699997,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031742-0-01,-10.65205007399993,-41.59620477699997,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031752-7-01,-10.646924681999964,-41.56466584699996,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA031755-1-01,-10.704181950999953,-41.570390431999954,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA033637-8-01,-10.635493476999956,-41.61186629799994,-10.75,-41.5,latm10p75_lonm41p50
EOLCVBA030328-3-01,-14.20195820899994,-42.61520855899994,-14.25,-42.5,latm14p25_lonm42p50
EOLCVRN030547-2-01,-5.232199570999967,-35.88470828199996,-5.25,-36.0,latm5p25_lonm36p00
EOLCVCE031483-8-01,-2.9269888729999707,-39.87548401099997,-3.0,-40.0,latm3p00_lonm40p00
EOLCVBA030323-2-01,-13.866273226999963,-42.67081740699996,-13.75,-42.75,latm13p75_lonm42p75
EOLCVRN030513-8-01,-5.272373731999949,-35.95888138899994,-5.25,-36.0,latm5p25_lonm36p00
EOLCVRN030292-9-01,-5.25969529799994,-35.89822380299995,-5.25,-36.0,latm5p25_lonm36p00
EOLCVPI031368-8-01,-7.510585244999959,-40.74439400199998,-7.5,-40.75,latm7p50_lonm40p75
EOLCVRN030566-9-01,-5.087182514999938,-35.77726681499996,-5.0,-35.75,latm5p00_lonm35p75
EOLCVBA030342-9-01,-14.218671127999926,-42.64235595099996,-14.25,-42.75,latm14p25_lonm42p75
EOLCVBA032531-7-01,-11.995686082999953,-41.49145275499996,-12.0,-41.5,latm12p00_lonm41p50
EOLCVBA031524-9-01,-9.325041194999926,-41.12238783699996,-9.25,-41.0,latm9p25_lonm41p00
EOLCVRN030874-9-01,-5.511691059999976,-35.44779591699995,-5.5,-35.5,latm5p50_lonm35p50
EOLCVBA030792-0-01,-14.440957925999951,-42.57687003799998,-14.5,-42.5,latm14p50_lonm42p50
