data,cenario_conservador,cenario_base,cenario_otimista
2025-01-01,29113.756148169225,29278.48768338572,29482.621434399778
2025-02-01,29235.02008702644,29566.791396087603,29980.516350519356
2025-03-01,29356.78911161676,29857.934020131375,30486.819587725622
2025-04-01,29479.065325711494,30151.94351012619,31001.67314357912
2025-05-01,29601.850841844553,30448.84809594876,31525.221413658626
2025-06-01,29725.14778134893,30748.67628545389,32057.61123205824
2025-07-01,29848.95827439333,31051.45686721171,32598.991912568432
2025-08-01,29973.284460019,31357.218913271885,33149.51529055249
2025-09-01,30098.12848617666,31665.991781954992,33709.33576553022
2025-10-01,30223.49250976364,31977.80512067144,34278.61034448074
2025-11-01,30349.378696661104,32292.688868768117,34857.49868587657
2025-12-01,30475.789221771516,32610.673260403062,35446.16314446141
2026-01-01,30602.726269056184,32931.788827448465,36044.768816784046
2026-02-01,30730.192031573,33256.06640242224,36653.48358750122
2026-03-01,30858.188711514336,33583.53712144846,37272.47817646257
2026-04-01,30986.718520245082,33914.23242724697,37901.92618659053
2026-05-01,31115.783678340835,34248.1840721524,38542.00415256896
2026-06-01,31245.386415626323,34585.42412116293,39192.89159035403
2026-07-01,31375.52897121385,34925.98495501906,39854.77104752111
2026-08-01,31506.213593542027,35269.89927331277,40527.828154462004
2026-09-01,31637.44254041462,35617.20009762712,41212.25167644673
2026-10-01,31769.218079039547,35967.920774706996,41908.23356656461
2026-11-01,31901.54248606803,36322.094979660884,42615.96901955925
2026-12-01,32034.418047633957,36679.75671919428,43335.65652657281
2027-01-01,32167.84705939338,37040.94033487489,44067.49793081476
2027-02-01,32301.83182656414,37405.680506430035,44811.69848417066
2027-03-01,32436.374663965733,37774.01225507646,45568.46690476705
2027-04-01,32571.477896059278,38145.97094688296,46338.01543550842
2027-05-01,32707.143856987695,38521.592296166156,47120.5599036028
2027-06-01,32843.374890616025,38900.91236891961,47916.31978109246
2027-07-01,32980.17335057189,39283.96758627684,48725.518246407
2027-08-01,33117.54160028624,39670.7947280083,49548.38224695586
2027-09-01,33255.48201303408,40061.43093605293,50385.14256277786
2027-10-01,33393.99697197557,40455.91371808434,51236.03387126567
2027-11-01,33533.088870197105,40854.280951112196,52101.29481298332
2027-12-01,33672.760110752744,41256.570885119116,52981.1680585952
2028-01-01,33813.013106705694,41662.82214673321,53875.900376925376
2028-02-01,33953.850281169965,42073.07374293699,54785.74270416625
2028-03-01,34095.274067352286,42487.365064812606,55710.950214255994
2028-04-01,34237.28690859413,42905.73589132414,56651.782390444525
2028-05-01,34379.891258413896,43328.226393136996,57608.50309806803
2028-06-01,34523.08958054933,43754.87713647501,58581.38065855254
2028-07-01,34666.884349000095,44185.729087015425,59570.68792466719
2028-08-01,34811.27804807049,44620.82361382239,60576.70235704839
2028-09-01,34956.273172412366,45060.20249331899,61599.706102016346
2028-10-01,35101.87222706826,45503.90791329853,62639.98607070557
2028-11-01,35248.077727514654,45951.982476975296,63697.83401953198
2028-12-01,35394.892199705406,46404.46920707514,64773.54663201866
2029-01-01,35542.318180115464,46861.41154996643,65867.42560200357
2029-02-01,35690.358215784596,47322.8533798316,66979.77771825255
2029-03-01,35839.01486436147,47788.83900287983,68110.91495050106
2029-04-01,35988.2906941478,48259.41316160118,69261.15453694908
2029-05-01,36138.18828414274,48734.621039062666,70430.8190732336
2029-06-01,36288.71022408744,49214.50826324652,71620.23660290363
2029-07-01,36439.85911450973,49699.12091143132,72829.74070942315
2029-08-01,36591.63756676916,50188.50551461615,74059.67060972773
2029-09-01,36744.04820310203,50682.70906198835,75310.37124936115
2029-10-01,36897.09365666669,51181.779005435346,76582.19339921871
2029-11-01,37050.776571589115,51685.763264100715,77875.49375392422
2029-12-01,37205.09960300848,52194.710228985336,79190.6350318684
