mes,feature,mean,std,n_amostras
1,vel_vento_100m_lat3.7S_lon41.1W,4.5618435449531765,1.2570907043541464,10
2,vel_vento_100m_lat3.7S_lon41.1W,3.9126719867049458,1.2607242198832602,10
3,vel_vento_100m_lat3.7S_lon41.1W,3.1429373726348206,1.1382627512728989,10
4,vel_vento_100m_lat3.7S_lon41.1W,3.18562255149802,1.1275755635663256,10
5,vel_vento_100m_lat3.7S_lon41.1W,4.249964439074002,0.9918119495242613,10
6,vel_vento_100m_lat3.7S_lon41.1W,5.057786628827157,0.9316984309868745,10
7,vel_vento_100m_lat3.7S_lon41.1W,5.67197453972763,0.8581246010921811,10
8,vel_vento_100m_lat3.7S_lon41.1W,6.196525845729271,1.1231403676994567,10
9,vel_vento_100m_lat3.7S_lon41.1W,6.911443130526403,1.0603362753747099,10
10,vel_vento_100m_lat3.7S_lon41.1W,6.723455745858699,1.016428187779964,10
11,vel_vento_100m_lat3.7S_lon41.1W,6.143175256151901,1.1139057668218462,10
12,vel_vento_100m_lat3.7S_lon41.1W,5.672112677688093,1.0839449837234527,10
1,vel_vento_100m_lat3.1S_lon39.7W,6.627907506385417,1.00193756840547,10
2,vel_vento_100m_lat3.1S_lon39.7W,5.737156745470164,1.1625343978046527,10
3,vel_vento_100m_lat3.1S_lon39.7W,4.643701128002732,1.0938210105429478,10
4,vel_vento_100m_lat3.1S_lon39.7W,5.006442909391519,1.0655222390738228,10
5,vel_vento_100m_lat3.1S_lon39.7W,6.758248560856349,0.5566731090983327,10
6,vel_vento_100m_lat3.1S_lon39.7W,7.964991514906269,0.5812686982124169,10
7,vel_vento_100m_lat3.1S_lon39.7W,8.941351235801694,0.48027679383433697,10
8,vel_vento_100m_lat3.1S_lon39.7W,9.970472889543846,0.41901795507543416,10
9,vel_vento_100m_lat3.1S_lon39.7W,10.431575340374977,0.3229991762499393,10
10,vel_vento_100m_lat3.1S_lon39.7W,9.812239210942337,0.5366962795618513,10
11,vel_vento_100m_lat3.1S_lon39.7W,9.018642555053821,0.5998599306371541,10
12,vel_vento_100m_lat3.1S_lon39.7W,8.198826297617902,0.7295091002421973,10
1,vel_vento_100m_lat5.1S_lon36.4W,7.016962357844344,0.9342396258803884,10
2,vel_vento_100m_lat5.1S_lon36.4W,6.503852521020468,0.9019541742976098,10
3,vel_vento_100m_lat5.1S_lon36.4W,5.448758266329458,1.2378628217537404,10
4,vel_vento_100m_lat5.1S_lon36.4W,5.922469616770218,0.985395951648855,10
5,vel_vento_100m_lat5.1S_lon36.4W,6.9741468562907105,0.502235918025187,10
6,vel_vento_100m_lat5.1S_lon36.4W,7.814453023330273,0.6058005272334719,10
7,vel_vento_100m_lat5.1S_lon36.4W,8.725513413943233,0.43046248181317,10
8,vel_vento_100m_lat5.1S_lon36.4W,9.524367598864877,0.4954740423073915,10
9,vel_vento_100m_lat5.1S_lon36.4W,9.758277737081793,0.4970770921409431,10
10,vel_vento_100m_lat5.1S_lon36.4W,9.265596457033109,0.5199855436064518,10
11,vel_vento_100m_lat5.1S_lon36.4W,8.671627752821381,0.6119527669727021,10
12,vel_vento_100m_lat5.1S_lon36.4W,8.064142301613257,0.4253007885598534,10
1,vel_vento_100m_lat6.2S_lon36.4W,5.960738126195219,0.8786585836385999,10
2,vel_vento_100m_lat6.2S_lon36.4W,5.608816520171431,0.7711748987297743,10
3,vel_vento_100m_lat6.2S_lon36.4W,4.797366481405754,1.0806917871667536,10
4,vel_vento_100m_lat6.2S_lon36.4W,5.186588602956519,0.8047298223842505,10
5,vel_vento_100m_lat6.2S_lon36.4W,6.177136463790731,0.35107370957961354,10
6,vel_vento_100m_lat6.2S_lon36.4W,7.0170921632650245,0.4813345799820659,10
7,vel_vento_100m_lat6.2S_lon36.4W,7.823561928563278,0.3210092884038765,10
8,vel_vento_100m_lat6.2S_lon36.4W,8.450148966498167,0.3869634756752697,10
9,vel_vento_100m_lat6.2S_lon36.4W,8.544560067279372,0.42101143930450996,10
10,vel_vento_100m_lat6.2S_lon36.4W,7.992104063710739,0.47106226519939637,10
11,vel_vento_100m_lat6.2S_lon36.4W,7.408219899986877,0.6832271471425074,10
12,vel_vento_100m_lat6.2S_lon36.4W,6.87870814922991,0.4552592574927261,10
1,vel_vento_100m_lat8.9S_lon37.4W,4.53929407694579,0.6166428775008065,9
2,vel_vento_100m_lat8.9S_lon37.4W,4.527606918834089,0.5366768315819153,9
3,vel_vento_100m_lat8.9S_lon37.4W,4.151720476986896,0.8187169611993598,10
4,vel_vento_100m_lat8.9S_lon37.4W,4.249554733643981,0.6152784619561901,10
5,vel_vento_100m_lat8.9S_lon37.4W,4.836552557231414,0.5884434794598099,10
6,vel_vento_100m_lat8.9S_lon37.4W,5.474300889225761,0.5440587725733981,10
7,vel_vento_100m_lat8.9S_lon37.4W,5.999995056769657,0.7277580646407111,10
8,vel_vento_100m_lat8.9S_lon37.4W,6.078609163416692,0.53718771048426,10
9,vel_vento_100m_lat8.9S_lon37.4W,6.162410994465331,0.42577581120604185,10
10,vel_vento_100m_lat8.9S_lon37.4W,5.878447974386105,0.44195933028161194,10
11,vel_vento_100m_lat8.9S_lon37.4W,5.298230141148021,0.6714665310447585,10
12,vel_vento_100m_lat8.9S_lon37.4W,5.200342708007077,0.3886149585972757,10
1,vel_vento_100m_lat10.4S_lon41.0W,4.3715728134552005,1.6805094930232574,10
2,vel_vento_100m_lat10.4S_lon41.0W,4.398305391610291,1.0449060563790469,10
3,vel_vento_100m_lat10.4S_lon41.0W,4.473705091410804,1.122910140390493,10
4,vel_vento_100m_lat10.4S_lon41.0W,5.1574643753620455,0.8682268071307554,10
5,vel_vento_100m_lat10.4S_lon41.0W,6.258226239254703,0.6836264556697974,10
6,vel_vento_100m_lat10.4S_lon41.0W,6.91330813617634,0.45924575526822237,10
7,vel_vento_100m_lat10.4S_lon41.0W,7.279710975862857,0.6380272164233732,10
8,vel_vento_100m_lat10.4S_lon41.0W,7.172657081973574,0.49100953479075793,10
9,vel_vento_100m_lat10.4S_lon41.0W,7.058784661729737,0.5072208901700862,10
10,vel_vento_100m_lat10.4S_lon41.0W,6.232612476250646,0.7934589561239315,10
11,vel_vento_100m_lat10.4S_lon41.0W,5.065626355367148,0.9290119566975086,10
12,vel_vento_100m_lat10.4S_lon41.0W,4.723654479617232,0.9536250362304963,10
1,vel_vento_100m_lat11.7S_lon42.0W,4.012103719021069,1.415751597613386,10
2,vel_vento_100m_lat11.7S_lon42.0W,3.994313736879216,0.8347209443776239,10
3,vel_vento_100m_lat11.7S_lon42.0W,4.1396171617747335,1.0074660131321533,10
4,vel_vento_100m_lat11.7S_lon42.0W,4.690174828342072,0.6530171584046056,10
5,vel_vento_100m_lat11.7S_lon42.0W,5.391492269312656,0.3658597058687585,10
6,vel_vento_100m_lat11.7S_lon42.0W,6.161436831891562,0.41191844370619235,10
7,vel_vento_100m_lat11.7S_lon42.0W,6.507379254043494,0.4206130501537455,10
8,vel_vento_100m_lat11.7S_lon42.0W,6.471364604147359,0.4030905467538097,10
9,vel_vento_100m_lat11.7S_lon42.0W,6.5080041696947415,0.4343385988683518,10
10,vel_vento_100m_lat11.7S_lon42.0W,5.81348617644752,0.5500863939652061,10
11,vel_vento_100m_lat11.7S_lon42.0W,4.53712235855021,0.8347057874120211,10
