CEG,nome_parque,status_operacao,uf,qtd_aerogeradores,potencia_parque_mw,ano_inicio_operacao,longitude_parque,latitude_parque,altura_torre_m,diametro_rotor_m,potencia_turbina_mw,denominacao_aerogerador,status_operacao_turbina,longitude_turbina,latitude_turbina
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-045,Sim,-42.59426323699995,-14.39738888499994
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-043,Sim,-42.59338109799995,-14.381966759999957
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-050,Sim,-42.59612530299995,-14.40613533399994
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-042,Sim,-42.59310650499998,-14.37991309499995
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-102,Sim,-42.59729017899997,-14.411613169999953
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-037,Sim,-42.59269596699994,-14.369781049999972
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-047,Sim,-42.59461415399994,-14.400970186999928
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-046,Sim,-42.59438308699998,-14.39917896999998
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-048,Sim,-42.59461303299997,-14.402804211999978
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-041,Sim,-42.59371074899997,-14.37801292699993
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-051,Sim,-42.59668087499995,-14.407920819999958
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-039,Sim,-42.59402946599994,-14.374212568999951
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-049,Sim,-42.59564378799996,-14.40435963599998
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-040,Sim,-42.59375856599996,-14.376143234999972
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-038,Sim,-42.593548864999946,-14.372355571999949
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-101,Sim,-42.59693059199998,-14.409703192999928
EOLCVBA030751-3-01,Inhambu,Operação,BA,17,31.45,2016.0,-42.59385359799995,-14.391171055999962,80.0,82.5,1.85,INH-036,Sim,-42.59271694599994,-14.367820738999969
EOLCVPE030806-4-01,Pedra do Gerônimo,Operação,PE,13,30.55,2015.0,-38.14478301999998,-9.067193030999931,80.0,100.0,2.35,AEG4,Sim,-38.141453129999945,-9.060335125999927
EOLCVPE030806-4-01,Pedra do Gerônimo,Operação,PE,13,30.55,2015.0,-38.14478301999998,-9.067193030999931,80.0,100.0,2.35,AEG7,Sim,-38.13659401799998,-9.071963420999964
EOLCVPE030806-4-01,Pedra do Gerônimo,Operação,PE,13,30.55,2015.0,-38.14478301999998,-9.067193030999931,80.0,100.0,2.35,AEG5,Sim,-38.144880701999966,-9.061428441999963
