data,nino34_anom,amm_sst,ibc_br
2010-01-01,1.52,1.98,93.6503
2010-02-01,1.25,3.96,94.53545
2010-03-01,0.9,5.01,95.53387
2010-04-01,0.38,5.3,95.89636
2010-05-01,-0.22,6.11,95.23168
2010-06-01,-0.69,4.17,94.98419
2010-07-01,-1.07,3.84,95.57117
2010-08-01,-1.39,4.19,96.16759
2010-09-01,-1.6,4.92,97.0375
2010-10-01,-1.69,6.11,96.87483
2010-11-01,-1.64,6.32,97.9687
2010-12-01,-1.6,7.8,96.94095
2011-01-01,-1.54,7.01,98.14366
2011-02-01,-1.11,3.3,98.54523
2011-03-01,-0.93,1.37,98.54831
2011-04-01,-0.77,0.16,98.51366
2011-05-01,-0.52,0.96,98.78171
2011-06-01,-0.38,1.87,99.13253
2011-07-01,-0.43,0.97,99.27441
2011-08-01,-0.65,0.78,99.19938
2011-09-01,-0.8,2.24,99.06712
2011-10-01,-1.05,3.32,99.01314
2011-11-01,-1.19,3.36,99.48174
2011-12-01,-1.06,4.47,98.53664
2012-01-01,-0.87,3.13,97.31769
2012-02-01,-0.67,1.33,98.27976
2012-03-01,-0.61,-2.18,98.03021
2012-04-01,-0.5,-1.23,98.40808
2012-05-01,-0.32,-0.85,99.62926
2012-06-01,0.02,0.48,100.33459
2012-07-01,0.25,0.74,100.51519
2012-08-01,0.47,2.05,100.83894
2012-09-01,0.38,3.49,100.43664
2012-10-01,0.26,4.97,101.26344
2012-11-01,0.16,5.35,101.11435
2012-12-01,-0.25,3.92,100.69047
2013-01-01,-0.53,2.86,101.32972
2013-02-01,-0.52,1.63,100.36083
2013-03-01,-0.25,3.72,101.36642
2013-04-01,-0.25,2.22,102.43924
2013-05-01,-0.4,3.12,102.64346
2013-06-01,-0.42,0.86,102.30127
2013-07-01,-0.39,0.75,102.67476
2013-08-01,-0.38,1.63,102.96833
2013-09-01,-0.18,2.9,103.47897
2013-10-01,-0.2,4.48,103.42321
2013-11-01,-0.14,3.06,103.7073
2013-12-01,-0.17,2.85,103.97918
2014-01-01,-0.49,0.77,103.66363
2014-02-01,-0.62,-1.92,103.36348
2014-03-01,-0.28,-4.4,103.25497
2014-04-01,0.08,-3.68,102.8098
2014-05-01,0.32,-3.8,102.44189
2014-06-01,0.23,-4.29,100.26245
2014-07-01,-0.06,-2.13,101.05323
2014-08-01,-0.03,-0.34,101.90641
2014-09-01,0.29,1.8,102.46497
2014-10-01,0.44,3.18,101.5904
2014-11-01,0.75,3.1,101.77255
2014-12-01,0.71,1.35,102.13347
2015-01-01,0.51,-0.8,101.2904
2015-02-01,0.42,-1.78,100.65345
2015-03-01,0.47,-4.23,100.46173
2015-04-01,0.7,-5.65,99.14035
2015-05-01,0.92,-4.08,98.46872
2015-06-01,1.18,-4.13,97.51131
2015-07-01,1.46,-1.6,96.39184
2015-08-01,1.93,1.1,96.87066
2015-09-01,2.21,2.44,96.16745
2015-10-01,2.36,3.95,96.5164
2015-11-01,2.72,1.08,95.54392
2015-12-01,2.66,-0.58,95.25796
2016-01-01,2.57,-0.56,94.89063
2016-02-01,2.26,-0.66,94.75435
2016-03-01,1.62,-1.4,94.08535
2016-04-01,0.91,-1.58,94.01758
2016-05-01,0.3,0.09,93.80111
2016-06-01,-0.03,-0.1,93.97403
2016-07-01,-0.48,-0.14,93.66935
2016-08-01,-0.58,1.09,93.40742
2016-09-01,-0.58,2.11,93.55861
2016-10-01,-0.74,2.65,93.0696
2016-11-01,-0.76,3.57,93.12837
2016-12-01,-0.5,2.87,92.74387
2017-01-01,-0.43,1.69,93.41681
2017-02-01,-0.08,0.82,94.52719
2017-03-01,0.03,-1.07,94.61426
2017-04-01,0.22,0.13,94.50331
2017-05-01,0.37,2.16,94.27088
2017-06-01,0.34,1.16,94.86629
2017-07-01,0.25,2.1,94.93311
2017-08-01,-0.16,1.93,94.65194
2017-09-01,-0.43,3.1,94.64787
2017-10-01,-0.56,2.94,94.85294
2017-11-01,-0.97,4.48,95.04069
2017-12-01,-0.98,6.14,96.17371
2018-01-01,-0.98,2.12,95.81891
2018-02-01,-0.78,-0.22,95.4417
2018-03-01,-0.8,0.56,95.47751
2018-04-01,-0.51,-2.9,96.01695
2018-05-01,-0.2,-4.72,93.08718
2018-06-01,0.04,-6.48,95.76516
2018-07-01,0.12,-4.72,96.07646
2018-08-01,0.09,-1.36,96.82265
2018-09-01,0.47,-0.78,96.30686
2018-10-01,0.9,0.99,96.6211
2018-11-01,0.9,-0.68,96.8912
2018-12-01,0.89,-1.83,97.04678
2019-01-01,0.65,-0.7,96.96012
2019-02-01,0.71,-0.03,96.39445
2019-03-01,0.81,-3.01,95.81353
2019-04-01,0.62,-3.54,95.79119
2019-05-01,0.55,-2.08,97.13779
2019-06-01,0.45,-1.35,96.6054
2019-07-01,0.35,-0.14,96.39421
2019-08-01,0.04,0.33,96.63408
2019-09-01,0.03,2.33,96.95389
2019-10-01,0.48,2.25,98.08898
2019-11-01,0.52,-0.02,97.91087
2019-12-01,0.52,-1.19,97.49115
2020-01-01,0.6,-1.87,97.59473
2020-02-01,0.37,-1.51,97.75509
2020-03-01,0.48,-0.49,91.27175
2020-04-01,0.36,0.19,83.02868
2020-05-01,-0.27,-1.04,85.51362
2020-06-01,-0.34,0.52,89.36512
2020-07-01,-0.3,-0.59,91.73335
2020-08-01,-0.59,0.29,93.50891
2020-09-01,-0.83,1.9,95.36299
2020-10-01,-1.26,3.77,97.31374
2020-11-01,-1.42,2.92,97.49719
2020-12-01,-1.15,3.6,97.62123
2021-01-01,-1.0,3.39,97.78587
2021-02-01,-1.0,1.97,98.72415
2021-03-01,-0.8,0.16,95.31997
2021-04-01,-0.72,-0.97,96.44633
2021-05-01,-0.46,-2.29,97.04362
2021-06-01,-0.28,-4.13,96.74775
2021-07-01,-0.39,-4.12,96.41324
2021-08-01,-0.53,-2.29,97.01472
2021-09-01,-0.55,1.31,96.97218
2021-10-01,-0.94,1.83,97.48429
2021-11-01,-0.94,3.18,99.01672
2021-12-01,-1.06,2.69,99.26961
2022-01-01,-0.94,2.97,97.38057
2022-02-01,-0.89,2.1,98.47223
2022-03-01,-0.97,-1.27,99.54249
2022-04-01,-1.11,-2.44,99.70731
2022-05-01,-1.11,-0.24,99.66125
2022-06-01,-0.75,-0.6,99.50902
2022-07-01,-0.69,-1.57,101.40193
2022-08-01,-0.97,-0.21,101.08891
2022-09-01,-1.07,2.2,101.12862
2022-10-01,-0.99,2.8,101.41491
2022-11-01,-0.9,2.2,100.65845
2022-12-01,-0.85,1.61,100.40662
2023-01-01,-0.72,1.29,100.0342
2023-02-01,-0.46,0.11,103.13725
2023-03-01,-0.11,1.02,103.07969
2023-04-01,0.14,1.12,104.39209
2023-05-01,0.46,2.28,102.4527
2023-06-01,0.84,3.74,102.38458
2023-07-01,1.02,3.18,102.85104
2023-08-01,1.35,2.95,102.46061
2023-09-01,1.6,5.72,102.45957
2023-10-01,1.72,5.51,102.76867
2023-11-01,2.02,4.0,103.50725
2023-12-01,2.03,2.58,104.60164
2024-01-01,1.81,3.96,104.36616
2024-02-01,1.52,4.02,104.77546
2024-03-01,1.13,3.14,104.67932
2024-04-01,0.77,1.55,105.29942
2024-05-01,0.23,3.3,105.65618
2024-06-01,0.17,3.22,106.56379
2024-07-01,0.04,0.9,106.93371
2024-08-01,-0.12,2.75,107.10953
2024-09-01,-0.26,-99.0,107.95354
2024-10-01,-0.27,-99.0,108.14132
2024-11-01,-0.25,-99.0,107.8805
2024-12-01,-0.6,-99.0,107.03793
2025-01-01,-0.74,,108.061
2025-02-01,-0.43,,108.89713
2025-03-01,0.01,,110.15491
2025-04-01,-0.14,,110.48319
2025-05-01,-0.13,,109.07597
2025-06-01,-0.07,,108.83859
2025-07-01,-0.14,,108.3827
2025-08-01,-0.36,,108.79409
2025-09-01,-0.47,,108.702
2025-10-01,-0.5,,108.69299
2025-11-01,-0.7,,109.18883
2025-12-01,-0.67,,109.17297
2026-01-01,-0.58,,110.0311
2026-02-01,-0.27,,110.98976
2026-03-01,-0.01,,110.24204
2026-04-01,0.23,,
2026-05-01,,,
2026-06-01,,,
2026-07-01,,,
2026-08-01,,,
2026-09-01,,,
2026-10-01,,,
2026-11-01,,,
2026-12-01,,,
