CEG_norm,nome_parque,longitude_parque,latitude_parque,uf,qtd_aerogeradores,potencia_turbina_mw,capacidade_mw,lat_era5,lon_era5,cell_key
EOLCVAL072579-0-01,Ventos de São Bruno 04,-37.73102289299993,-8.932558795999967,AL,5,33.0,33.0,-9.0,-37.75,latm9p00_lonm37p75
EOLCVAL074967-2,Ventos De São Bruno 01,-37.783874511999954,-8.946594237999932,AL,0,0.0,0.0,-9.0,-37.75,latm9p00_lonm37p75
EOLCVAL074968-0,Ventos De São Bruno 02,-37.78887939499998,-8.917297362999932,AL,0,0.0,0.0,-9.0,-37.75,latm9p00_lonm37p75
EOLCVAL074969-9,Ventos De São Bruno 03,-37.73541259799998,-8.934082030999946,AL,0,0.0,0.0,-9.0,-37.75,latm9p00_lonm37p75
EOLCVAL074970-2,Ventos De São Bruno 04,-37.80529785199997,-8.929992675999927,AL,0,0.0,0.0,-9.0,-37.75,latm9p00_lonm37p75
EOLCVBA-074241-4,Ventos De Macururé 1,-38.95179099999996,-9.126842999999951,BA,0,0.0,0.0,-9.25,-39.0,latm9p25_lonm39p00
EOLCVBA-074242-2,Ventos De Macururé 2,-38.937126999999975,-9.125233999999978,BA,0,0.0,0.0,-9.25,-39.0,latm9p25_lonm39p00
EOLCVBA-074243-0,Ventos De Macururé 3,-38.91664899999995,-9.11531999999994,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074244-9,Ventos De Macururé 4,-38.93480299999993,-9.068915999999945,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074245-7,Ventos De Macururé 5,-38.916136999999935,-9.044780999999944,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074246-5,Ventos De Macururé 6,-38.95989199999997,-9.050518999999952,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074247-3,Ventos De Macururé 7,-38.89564399999995,-9.027076999999965,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074248-1,Ventos De Macururé 8,-38.87691399999994,-9.009523999999942,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074249-0,Ventos De Macururé 9,-38.91180899999995,-9.005083999999954,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074250-3,Ventos De Macururé 10,-38.93491199999994,-8.979599999999948,BA,0,0.0,0.0,-9.0,-39.0,latm9p00_lonm39p00
EOLCVBA-074919-2,Ventos de São Matheus 04,-41.43792724599996,-9.084289550999928,BA,0,0.0,0.0,-9.0,-41.5,latm9p00_lonm41p50
EOLCVBA-074921-4,Ventos de São Matheus 06,-41.43267822299998,-9.118591308999951,BA,0,0.0,0.0,-9.0,-41.5,latm9p00_lonm41p50
EOLCVBA030283-0-01,Macaúbas,-42.33852458899997,-12.351191485999948,BA,21,35.07,35.07,-12.25,-42.25,latm12p25_lonm42p25
EOLCVBA030288-0-01,Pedra do Reino,-40.88639418799994,-9.517548290999969,BA,10,30.0,30.0,-9.5,-41.0,latm9p50_lonm41p00
EOLCVBA030305-4-01,Novo Horizonte,-42.35098756799994,-12.312699134999946,BA,18,28.8,30.06,-12.25,-42.25,latm12p25_lonm42p25
EOLCVBA030306-2-01,Seabra,-42.36260410999995,-12.278703333999944,BA,18,30.599999999999998,35.39,-12.25,-42.25,latm12p25_lonm42p25
EOLCVBA030314-3-01,Serra do Salto,-42.63821972199997,-14.155455830999928,BA,12,19.200000000000003,19.2,-14.25,-42.75,latm14p25_lonm42p75
EOLCVBA030315-1-01,Ilhéus,-42.66304999999994,-13.88229999999993,BA,7,11.200000000000001,11.2,-14.0,-42.75,latm14p00_lonm42p75
EOLCVBA030316-0-01,Candiba,-42.62274948899994,-14.183147116999976,BA,6,9.600000000000001,9.6,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA030317-8-01,Licínio de Almeida,-42.65406269999994,-14.176943954999956,BA,15,24.0,24.0,-14.25,-42.75,latm14p25_lonm42p75
EOLCVBA030318-6-01,Nossa Senhora da Conceição,-42.67688888899994,-13.895694442999968,BA,18,28.8,28.799999999999997,-14.0,-42.75,latm14p00_lonm42p75
EOLCVBA030319-4-01,Pajeú do Vento,-42.63386111199998,-14.014749998999946,BA,16,25.6,25.6,-14.0,-42.75,latm14p00_lonm42p75
EOLCVBA030320-8-01,Alvorada,-42.59107259599995,-14.185151143999974,BA,5,8.0,8.0,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA030321-6-01,Igaporã,-42.65734169899997,-13.860574339999973,BA,19,30.400000000000002,30.4,-13.75,-42.75,latm13p75_lonm42p75
EOLCVBA030322-4-01,Planaltina,-42.63894444399995,-13.987944443999936,BA,17,27.200000000000003,27.2,-14.0,-42.75,latm14p00_lonm42p75
EOLCVBA030323-2-01,Porto Seguro,-42.67266666799998,-13.862944444999982,BA,4,6.4,6.4,-13.75,-42.75,latm13p75_lonm42p75
EOLCVBA030324-0-01,Pindaí,-42.65889864799993,-14.202139393999971,BA,15,24.0,24.0,-14.25,-42.75,latm14p25_lonm42p75
EOLCVBA030328-3-01,Guanambi,-42.61830983999994,-14.201707563999946,BA,13,20.8,20.799999999999997,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA030341-0-01,Rio Verde,-42.60055555599996,-14.164027776999944,BA,19,30.400000000000002,30.4,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA030342-9-01,Guirapá,-42.641388495999934,-14.21891461399997,BA,18,28.8,28.799999999999997,-14.25,-42.75,latm14p25_lonm42p75
EOLCVBA030437-9-01,Caetité 2,-42.50299999999993,-14.184999999999944,BA,15,30.0,30.0,-14.25,-42.5,latm14p25_lonm42p50
EOLCVBA030443-3-01,Pedra Branca,-41.095714793999946,-9.874591530999965,BA,12,30.0,30.0,-9.75,-41.0,latm9p75_lonm41p00
EOLCVBA030448-4-01,Caetité 3,-42.50699999999995,-14.219444443999976,BA,15,30.0,30.0,-14.25,-42.5,latm14p25_lonm42p50
