data,sazonal_conservador,sazonal_base,sazonal_otimista,real
2025-01-01,9172.393999431759,10659.011970332802,11084.892098505108,7096.7803978457805
2025-02-01,8475.048668422132,9898.631659535818,10327.107611740543,10366.522114579808
2025-03-01,7535.911175920969,8845.515300325287,9259.458260881962,10701.555228491385
2025-04-01,8246.357274235748,9726.597828960825,10217.63641135674,9550.020455552029
2025-05-01,10526.243123659355,12475.041303608441,13153.005147267473,13435.560956985564
2025-06-01,12715.666413132198,15140.390832008829,16024.277218388841,13893.463218052377
2025-07-01,14561.211963560587,17417.49217760101,18507.538000514945,14195.32284408246
2025-08-01,15997.557112386125,19221.790168413834,20508.80308319347,14398.22463171719
2025-09-01,16198.159425183829,19548.836666111554,20946.487446982985,15880.440722218444
2025-10-01,14962.72133898187,18136.14610246255,19518.12285205555,14500.941262093183
2025-11-01,12945.229401258533,15757.540739946064,17034.98803613319,11375.155126385444
2025-12-01,12054.618098390132,14734.740573329093,16003.410148884414,10764.455865588268
2026-01-01,10023.527604728595,12302.319491567661,13425.446114246364,10612.600490587944
2026-02-01,9255.438974461167,11405.353108943827,12507.65686534231,7227.030264877336
2026-03-01,8224.540697738994,10175.071630266297,11214.575371946898,7408.412450265376
2026-04-01,8994.212269157924,11170.502440763883,12375.071027902106,9551.462997219083
2026-05-01,11473.698663698902,14304.320285537051,15930.237324444366,11539.25409791354
