data,sazonal_conservador,sazonal_base,sazonal_otimista
2025-01-01,9172.393999431759,10659.011970332802,11084.892098505108
2025-02-01,8475.048668422132,9898.631659535818,10327.107611740543
2025-03-01,7535.911175920969,8845.515300325287,9259.458260881962
2025-04-01,8246.357274235748,9726.597828960825,10217.63641135674
2025-05-01,10526.243123659355,12475.041303608441,13153.005147267473
2025-06-01,12715.666413132198,15140.390832008829,16024.277218388841
2025-07-01,14561.211963560587,17417.49217760101,18507.538000514945
2025-08-01,15997.557112386125,19221.790168413834,20508.80308319347
2025-09-01,16198.159425183829,19548.836666111554,20946.487446982985
2025-10-01,14962.72133898187,18136.14610246255,19518.12285205555
2025-11-01,12945.229401258533,15757.540739946064,17034.98803613319
2025-12-01,12054.618098390132,14734.740573329093,16003.410148884414
2026-01-01,10023.527604728595,12302.319491567661,13425.446114246364
2026-02-01,9255.438974461167,11405.353108943827,12507.65686534231
2026-03-01,8224.540697738994,10175.071630266297,11214.575371946898
2026-04-01,8994.212269157924,11170.502440763883,12375.071027902106
2026-05-01,11473.698663698902,14304.320285537051,15930.237324444366
2026-06-01,13851.66867071853,17333.70224917504,19407.773066572074
2026-07-01,15852.479670483364,19910.57895211962,22415.369669388914
2026-08-01,17405.791193959503,21940.707202716243,24839.198091809623
2026-09-01,17613.668430726844,22281.79960014265,25369.298681773576
2026-10-01,16260.816029278692,20642.413925239736,23639.337602289386
2026-11-01,14060.235016441846,17910.313350787597,20631.893563202084
2026-12-01,13085.513619592504,16725.11946690876,19382.499954781288
2027-01-01,10874.661210025432,13945.62701280252,16260.203686677269
2027-02-01,10035.829280500202,12912.074558351842,15148.624972522917
2027-03-01,8913.17021955702,11504.627960207308,13582.51176576918
2027-04-01,9742.0672640801,12614.407052566945,14988.0438860994
2027-05-01,12421.154203738453,16133.599267465655,19293.87682676012
2027-06-01,14987.67092830486,19527.013666341256,23505.68766816627
2027-07-01,17143.74737740614,22403.66572663823,27148.33260919852
2027-08-01,18814.025275532877,24659.624237018656,30083.947821887545
2027-09-01,19029.177436269852,25014.762534173748,30725.978149512568
2027-10-01,17558.910719575517,23148.681748016927,28630.73905778603
2027-11-01,15175.240631625158,20063.085961629127,24988.278894026473
2027-12-01,14116.409140794882,18715.49836048843,23475.078186588027
2028-01-01,11725.79481532227,15588.934534037382,19693.514962729838
2028-02-01,10816.219586539235,14418.796007759856,18347.228504006882
2028-03-01,9601.799741375044,12834.184290148321,16450.433453659232
2028-04-01,10489.922259002278,14058.311664370005,18152.74102468923
2028-05-01,13368.609743777999,17962.878249394264,23367.74245258615
2028-06-01,16123.673185891192,21720.325083507472,28468.86919267616
2028-07-01,18435.01508432892,24896.752501156843,32880.65172827303
2028-08-01,20222.259357106253,27378.541271321064,36436.11654469948
2028-09-01,20444.686441812868,27747.725468204844,37213.71036254134
2028-10-01,18857.005409872338,25654.949570794117,34676.065496676514
2028-11-01,16290.246246808474,22215.858572470665,30264.506753724225
2028-12-01,15147.304661997256,20705.8772540681,28431.796576915684
2029-01-01,12576.928420619106,17232.242055272243,23851.7634256349
2029-02-01,11596.609892578272,15925.517457167869,22221.211125684047
2029-03-01,10290.42926319307,14163.740620089335,19923.911385468644
2029-04-01,11237.777253924452,15502.216276173067,21985.657982697074
2029-05-01,14316.06528381755,19792.157231322875,28301.797105547885
2029-06-01,17259.67544347752,23913.636500673692,34480.01711548876
2029-07-01,19726.282791251695,27389.839275675455,39823.33919504392
2029-08-01,21630.493438679638,30097.458305623477,44129.533687498144
2029-09-01,21860.19544735589,30480.688402235937,45071.3149702961
2029-10-01,20155.100100169162,28161.217393571307,41997.85118724704
2029-11-01,17405.251861991783,24368.631183312198,36654.80015373038
2029-12-01,16178.200183199635,22696.256147647768,34435.11668697907
