modelo,horizonte,MAE,RMSE,MAPE,Bias,n_samples
CNN,1,53749.932625399655,55680.05971038938,549.9842624574419,-53749.932625399655,7
CNN,2,25293.12746866079,29297.506536052057,271.2619775386723,17050.914965244065,7
CNN,3,301582.7886626393,303224.6668752585,3479.2110930638487,301582.7886626393,7
CNN,4,29039.37050750539,31591.259278427184,362.1540020785868,-29039.37050750539,7
CNN,5,209169.9735732481,212777.15743911397,2515.949882521665,-209169.9735732481,7
CNN,6,152731.7529743189,154588.1443905414,1752.759753952709,-152731.7529743189,7
CNN,7,240316.7610317565,242294.64640424566,2646.791586998853,-240316.7610317565,7
CNN,8,187990.7226470188,190875.55111122216,1820.8507687052777,-187990.7226470188,7
CNN,9,18380.920460075737,20971.142643589916,152.7086602263309,-15847.55701916973,7
CNN,10,182295.69358218528,183250.14859749185,1478.6383784280981,-182295.69358218528,7
CNN,11,246644.2338602018,249635.29380408124,1832.3902784400693,246644.2338602018,7
CNN,12,335755.5504018035,337914.4802134942,2497.5728753834,-335755.5504018035,7
LSTM,1,5667.304765466618,5995.203545834682,50.70396184798787,-5667.304765466618,7
LSTM,2,4589.861611206826,4957.790624336943,43.193427607797666,-4589.861611206826,7
LSTM,3,3455.0477631419767,4083.7809634819664,33.343115064590165,-3455.0477631419767,7
LSTM,4,2507.8350662430084,3437.0846113870007,24.516162218122442,-2507.8350662430084,7
LSTM,5,2343.9119789218394,3076.090770836661,23.896546476583463,-2100.710459408809,7
LSTM,6,2806.472769501569,3648.180156378176,27.24350262618777,-2243.268738827825,7
LSTM,7,2942.936135608939,4045.3539954522366,25.830710216625867,-2647.439045149361,7
LSTM,8,4219.615688886837,5059.685051531515,35.10822803671103,-3729.8758278223545,7
LSTM,9,4851.425278055884,5705.398441681054,36.620947672281886,-4654.174973968837,7
LSTM,10,5575.2194610915185,5989.675233950922,41.85280310274698,-5575.2194610915185,7
LSTM,11,6294.829128079449,6374.53457095082,46.432241373568104,-6294.829128079449,7
LSTM,12,6344.110739415085,6391.414156822406,46.61283855357941,-6344.110739415085,7
INFORMER,1,4964.741986448761,5247.288912300144,44.52133369634179,-4964.741986448761,7
INFORMER,2,4394.6072864300395,4679.847014264131,41.83589604023335,-4394.6072864300395,7
INFORMER,3,3791.6491163785836,4186.5498764188405,37.98398628229376,-3791.6491163785836,7
INFORMER,4,3169.5648374483653,3607.601041053108,33.673292555419096,-3169.5648374483653,7
INFORMER,5,3161.0959225784522,3578.768410662046,34.32548239681595,-3161.0959225784522,7
INFORMER,6,3636.6550390510392,4276.910262852845,36.80128461046729,-3636.6550390510392,7
INFORMER,7,4114.684301845789,5036.502100455351,37.79547253079566,-4114.684301845789,7
INFORMER,8,5229.643963983069,6066.653394893761,43.78087786670411,-5229.643963983069,7
INFORMER,9,6034.119240151872,6812.6734192596105,46.37232767222252,-6034.119240151872,7
INFORMER,10,7047.573395243306,7581.704399041292,52.01805714311358,-7047.573395243306,7
INFORMER,11,7635.707755311591,7802.127749785483,55.73446459467323,-7635.707755311591,7
INFORMER,12,7781.484414080264,7873.725923411064,56.80786896489033,-7781.484414080264,7
ENSEMBLE,1,18598.699833787654,18892.30211532133,185.44335739117045,-18598.699833787654,7
ENSEMBLE,2,6634.001746101743,7349.522531478743,68.81664242732447,1442.7890454384137,7
ENSEMBLE,3,80294.58437350948,80904.63691191978,930.7279825964173,80294.58437350948,7
ENSEMBLE,4,10079.371624044816,10533.298860219684,121.17670882952048,-10079.371624044816,7
ENSEMBLE,5,59488.23344122327,60494.97661547127,712.4294577270687,-59488.23344122327,7
ENSEMBLE,6,44208.705268991514,44917.15653993175,503.0924738613992,-44208.705268991514,7
ENSEMBLE,7,68619.47669217644,69423.0815147149,750.202046114011,-68619.47669217644,7
ENSEMBLE,8,55027.378524410655,56168.62394635212,527.5214195670808,-55027.378524410655,7
ENSEMBLE,9,8794.109549077573,10080.487032152516,68.59090262075344,-8305.993251944097,7
ENSEMBLE,10,54787.62496842225,55163.00405865739,441.21276562329956,-54787.62496842225,7
ENSEMBLE,11,62709.57277716221,63574.942308589656,466.40340778406085,62709.57277716221,7
ENSEMBLE,12,97534.0539161434,98053.05608996356,724.8968318500762,-97534.0539161434,7
XGBOOST,1,2513.1411270632248,2806.0551102067784,26.325592522651593,-2413.870344402085,38
XGBOOST,2,2399.0718938070845,2702.4105821937114,25.326471333873503,-2289.464916655813,38
XGBOOST,3,2217.1013957436717,2595.9343297749033,22.99459751730957,-1933.509745821025,38
XGBOOST,4,2154.0152251886966,2582.0601418687966,22.267252012903317,-1727.336883258651,38
XGBOOST,5,2356.999610544722,2764.4947081306004,23.953507760960633,-1946.9210912414037,38
XGBOOST,6,2297.9951958829765,2666.9598438458734,22.531503091968432,-2094.422724777005,38
XGBOOST,7,2342.79778740218,2678.492587966021,22.424948798462214,-1966.3322333010813,38
XGBOOST,8,2503.141497299303,2860.8325848523036,23.250058667849906,-2309.371083464735,38
XGBOOST,9,2668.639033255237,3066.919525844509,23.914772139490225,-2567.9490231923937,38
XGBOOST,10,2498.24107924175,2830.9679971622104,22.676842720320252,-2402.939848467968,38
XGBOOST,11,2225.2820987473183,2590.625983902899,19.879285714112868,-2184.2621133555276,38
XGBOOST,12,2555.302331848454,2939.140078089952,22.73557996333518,-2501.203820108412,38
