modelo,tipo,horizonte,y_true,y_pred,erro,erro_abs,erro_quad,janela_treino,rodada,cutoff_date,quartil_geracao
CNN,Individual,1,12694.528203816964,-36655.55078125,-49350.07898506697,49350.07898506697,2435430295.8323483,,,,Q4_alta
CNN,Individual,2,11527.302334689168,-2757.04833984375,-14284.350674532918,14284.350674532918,204042674.19302902,,,,Q3_media_alta
CNN,Individual,3,11750.548360863111,281685.40625,269934.8578891369,269934.8578891369,72864827503.62852,,,,Q3_media_alta
CNN,Individual,4,12127.160956265994,-1939.8524169921875,-14067.013373258182,14067.013373258182,197880865.24342453,,,,Q3_media_alta
CNN,Individual,5,10232.681174719057,-147581.53125,-157814.21242471907,157814.21242471907,24905325643.234352,,,,Q2_media_baixa
CNN,Individual,6,10261.672263192862,-130263.7890625,-140525.46132569286,140525.46132569286,19747405280.798798,,,,Q2_media_baixa
CNN,Individual,7,6551.537428000416,-197796.4375,-204347.97492800042,204347.97492800042,41758094857.17469,,,,Q1_baixa
CNN,Individual,8,8325.108252904669,-139023.546875,-147348.65512790467,147348.65512790467,21711626168.002186,,,,Q2_media_baixa
CNN,Individual,9,6527.395925578978,15394.16796875,8866.772043171022,8866.772043171022,78619646.46555923,,,,Q1_baixa
CNN,Individual,10,7510.076084132834,-148543.046875,-156053.12295913283,156053.12295913283,24352577185.29823,,,,Q1_baixa
CNN,Individual,11,11191.656384207849,208922.921875,197731.26549079214,197731.26549079214,39097653352.590126,,,,Q3_media_alta
CNN,Individual,12,12677.379169714666,-275216.15625,-287893.53541971464,287893.53541971464,82882687736.4625,,,,Q4_alta
CNN,Individual,1,11527.302334689168,-38102.38671875,-49629.68905343917,49629.68905343917,2463106035.54106,,,,Q3_media_alta
CNN,Individual,2,11750.548360863111,-2812.8447265625,-14563.393087425611,14563.393087425611,212092418.21887606,,,,Q3_media_alta
CNN,Individual,3,12127.160956265994,287654.21875,275527.057793734,275527.057793734,75915159576.47165,,,,Q3_media_alta
CNN,Individual,4,10232.681174719057,-57.92448043823242,-10290.60565515729,10290.60565515729,105896564.74995518,,,,Q2_media_baixa
CNN,Individual,5,10261.672263192862,-160756.671875,-171018.34413819286,171018.34413819286,29247274031.769363,,,,Q2_media_baixa
CNN,Individual,6,6551.537428000416,-126317.0546875,-132868.59211550042,132868.59211550042,17654062770.75522,,,,Q1_baixa
CNN,Individual,7,8325.108252904669,-211223.1875,-219548.29575290467,219548.29575290467,48201454168.0049,,,,Q2_media_baixa
CNN,Individual,8,6527.395925578978,-150391.859375,-156919.25530057898,156919.25530057898,24623652684.088284,,,,Q1_baixa
CNN,Individual,9,7510.076084132834,-6732.08642578125,-14242.162509914084,14242.162509914084,202839192.95880222,,,,Q1_baixa
CNN,Individual,10,11191.656384207849,-162421.6875,-173613.34388420786,173613.34388420786,30141593174.656216,,,,Q3_media_alta
CNN,Individual,11,12677.379169714666,232898.8125,220221.43333028533,220221.43333028533,48497479698.04531,,,,Q4_alta
CNN,Individual,12,14163.377102756116,-292452.03125,-306615.4083527561,306615.4083527561,94013008639.3274,,,,Q4_alta
CNN,Individual,1,11750.548360863111,-35391.49609375,-47142.04445461311,47142.04445461311,2222372355.3607187,,,,Q3_media_alta
CNN,Individual,2,12127.160956265994,22173.154296875,10045.993340609006,10045.993340609006,100921982.1995605,,,,Q3_media_alta
CNN,Individual,3,10232.681174719057,295156.625,284923.94382528093,284923.94382528093,81181653764.95184,,,,Q2_media_baixa
CNN,Individual,4,10261.672263192862,-27275.861328125,-37537.533591317864,37537.533591317864,1409066428.119317,,,,Q2_media_baixa
CNN,Individual,5,6551.537428000416,-181264.6875,-187816.22492800042,187816.22492800042,35274934346.205246,,,,Q1_baixa
CNN,Individual,6,8325.108252904669,-126061.4765625,-134386.58481540467,134386.58481540467,18059754178.347954,,,,Q2_media_baixa
CNN,Individual,7,6527.395925578978,-205382.59375,-211909.98967557898,211909.98967557898,44905843724.30399,,,,Q1_baixa
CNN,Individual,8,7510.076084132834,-154223.0625,-161733.13858413283,161733.13858413283,26157608116.274315,,,,Q1_baixa
CNN,Individual,9,11191.656384207849,4563.49169921875,-6628.1646849890985,6628.1646849890985,43932567.09133664,,,,Q3_media_alta
CNN,Individual,10,12677.379169714666,-168767.328125,-181444.70729471467,181444.70729471467,32922181805.264683,,,,Q4_alta
CNN,Individual,11,14163.377102756116,234653.671875,220490.29477224388,220490.29477224388,48615970088.751,,,,Q4_alta
CNN,Individual,12,14985.706234836372,-285990.625,-300976.33123483637,300976.33123483637,90586751963.58194,,,,Q4_alta
CNN,Individual,1,12127.160956265994,-36880.03515625,-49007.196112515994,49007.196112515994,2401705270.8106027,,,,Q3_media_alta
CNN,Individual,2,10232.681174719057,30890.849609375,20658.16843465594,20658.16843465594,426759923.0746151,,,,Q2_media_baixa
CNN,Individual,3,10261.672263192862,290075.03125,279813.3589868071,279813.3589868071,78295515867.47978,,,,Q2_media_baixa
CNN,Individual,4,6551.537428000416,-34091.28515625,-40642.82258425042,40642.82258425042,1651839027.6148558,,,,Q1_baixa
CNN,Individual,5,8325.108252904669,-205791.421875,-214116.53012790467,214116.53012790467,45845888474.01391,,,,Q2_media_baixa
CNN,Individual,6,6527.395925578978,-125850.765625,-132378.16155057898,132378.16155057898,17523977655.51119,,,,Q1_baixa
CNN,Individual,7,7510.076084132834,-223723.390625,-231233.46670913283,231233.46670913283,53468916126.32364,,,,Q1_baixa
CNN,Individual,8,11191.656384207849,-173747.34375,-184939.00013420786,184939.00013420786,34202433770.640533,,,,Q3_media_alta
CNN,Individual,9,12677.379169714666,-5585.83837890625,-18263.217548620916,18263.217548620916,333545115.228255,,,,Q4_alta
CNN,Individual,10,14163.377102756116,-173286.75,-187450.12710275612,187450.12710275612,35137550150.839424,,,,Q4_alta
CNN,Individual,11,14985.706234836372,250907.515625,235921.80939016363,235921.80939016363,55659100145.9287,,,,Q4_alta
CNN,Individual,12,15465.297979055042,-313069.71875,-328535.01672905503,328535.01672905503,107935257217.16046,,,,Q4_alta
CNN,Individual,1,10232.681174719057,-23538.08984375,-33770.77101846906,33770.77101846906,1140464975.1818697,,,,Q2_media_baixa
CNN,Individual,2,10261.672263192862,64823.8515625,54562.179299307136,54562.179299307136,2977031409.88974,,,,Q2_media_baixa
CNN,Individual,3,6551.537428000416,328331.4375,321779.9000719996,321779.9000719996,103542304090.34604,,,,Q1_baixa
CNN,Individual,4,8325.108252904669,-30862.90234375,-39188.01059665467,39188.01059665467,1535700174.5235186,,,,Q2_media_baixa
CNN,Individual,5,6527.395925578978,-205025.46875,-211552.86467557898,211552.86467557898,44754614552.44383,,,,Q1_baixa
CNN,Individual,6,7510.076084132834,-155778.4375,-163288.51358413283,163288.51358413283,26663138668.515533,,,,Q1_baixa
CNN,Individual,7,11191.656384207849,-237433.84375,-248625.50013420786,248625.50013420786,61814639316.98499,,,,Q3_media_alta
CNN,Individual,8,12677.379169714666,-185875.640625,-198553.01979471467,198553.01979471467,39423301669.60036,,,,Q4_alta
CNN,Individual,9,14163.377102756116,-3441.9619140625,-17605.339016818616,17605.339016818616,309947961.8971159,,,,Q4_alta
CNN,Individual,10,14985.706234836372,-147651.609375,-162637.31560983637,162637.31560983637,26450896428.773525,,,,Q4_alta
CNN,Individual,11,15465.297979055042,272003.90625,256538.60827094497,256538.60827094497,65812057533.59335,,,,Q4_alta
CNN,Individual,12,13474.112120594003,-338037.1875,-351511.299620594,351511.299620594,123560193760.95901,,,,Q4_alta
CNN,Individual,1,10261.672263192862,-53852.078125,-64113.750388192864,64113.750388192864,4110572988.8395004,,,,Q2_media_baixa
CNN,Individual,2,6551.537428000416,30706.92578125,24155.388353249582,24155.388353249582,583482786.4963056,,,,Q1_baixa
CNN,Individual,3,8325.108252904669,323093.75,314768.64174709533,314768.64174709533,99079297827.31125,,,,Q2_media_baixa
CNN,Individual,4,6527.395925578978,-14462.3818359375,-20989.777761516478,20989.777761516478,440570770.4778517,,,,Q1_baixa
CNN,Individual,5,7510.076084132834,-234507.625,-242017.70108413283,242017.70108413283,58572567638.04867,,,,Q1_baixa
CNN,Individual,6,11191.656384207849,-151960.359375,-163152.01575920786,163152.01575920786,26618580246.29281,,,,Q3_media_alta
CNN,Individual,7,12677.379169714666,-258203.5,-270880.87916971464,270880.87916971464,73376450699.75754,,,,Q4_alta
CNN,Individual,8,14163.377102756116,-210944.515625,-225107.89272775612,225107.89272775612,50673563368.330956,,,,Q4_alta
CNN,Individual,9,14985.706234836372,-24332.685546875,-39318.39178171137,39318.39178171137,1545935932.300148,,,,Q4_alta
CNN,Individual,10,15465.297979055042,-191497.125,-206962.42297905503,206962.42297905503,42833444525.36128,,,,Q4_alta
CNN,Individual,11,13474.112120594003,287102.75,273628.637879406,273628.637879406,74872631467.73909,,,,Q4_alta
CNN,Individual,12,12867.84961242335,-364484.1875,-377352.03711242334,377352.03711242334,142394559912.89572,,,,Q4_alta
CNN,Individual,1,6551.537428000416,-76684.4609375,-83235.99836550042,83235.99836550042,6928231423.901588,,,,Q1_baixa
CNN,Individual,2,8325.108252904669,47107.52734375,38782.41909084533,38782.41909084533,1504076030.5379643,,,,Q2_media_baixa
CNN,Individual,3,6527.395925578978,370859.15625,364331.76032442105,364331.76032442105,132737631581.09138,,,,Q1_baixa
CNN,Individual,4,7510.076084132834,-33049.75390625,-40559.82999038283,40559.82999038283,1645099808.8487585,,,,Q1_baixa
CNN,Individual,5,11191.656384207849,-268662.28125,-279853.93763420783,279853.93763420783,78318226409.3711,,,,Q3_media_alta
CNN,Individual,6,12677.379169714666,-189845.5625,-202522.94166971467,202522.94166971467,41015541902.55465,,,,Q4_alta
CNN,Individual,7,14163.377102756116,-281507.84375,-295671.2208527561,295671.2208527561,87421470840.55928,,,,Q4_alta
CNN,Individual,8,14985.706234836372,-226348.390625,-241334.09685983637,241334.09685983637,58242146307.152885,,,,Q4_alta
CNN,Individual,9,15465.297979055042,-8277.09765625,-23742.39563530504,23742.39563530504,563701350.5033519,,,,Q4_alta
CNN,Individual,10,13474.112120594003,-194434.703125,-207908.815245594,207908.815245594,43226075456.826546,,,,Q4_alta
CNN,Individual,11,12867.84961242335,334845.4375,321977.58788757666,321977.58788757666,103669567101.90216,,,,Q4_alta
CNN,Individual,12,11781.349343244798,-385623.875,-397405.2243432448,397405.2243432448,157930912335.30472,,,,Q3_media_alta
LSTM,Individual,1,12694.528203816964,4464.90478515625,-8229.623418660714,8229.623418660714,67726701.61296886,,,,Q4_alta
LSTM,Individual,2,11527.302334689168,4420.10302734375,-7107.199307345418,7107.199307345418,50512281.99433119,,,,Q3_media_alta
LSTM,Individual,3,11750.548360863111,4468.09765625,-7282.450704613111,7282.450704613111,53034088.26512,,,,Q3_media_alta
LSTM,Individual,4,12127.160956265994,4559.2548828125,-7567.906073453494,7567.906073453494,57273202.33661428,,,,Q3_media_alta
