modelo_1,modelo_2,DM_stat,p_value,significativo_5pct,melhor
CNN,LSTM,4.210636913532006,2.5465173781658024e-05,Sim,LSTM
CNN,INFORMER,4.211159498985288,2.5406327962773645e-05,Sim,INFORMER
CNN,ENSEMBLE,4.206775341697759,2.5904042475932698e-05,Sim,ENSEMBLE
CNN,XGBOOST,4.21169775338201,2.5345852972424865e-05,Sim,XGBOOST
LSTM,INFORMER,-1.7741111332282933,0.07604476959959583,Nao,LSTM
LSTM,ENSEMBLE,-4.2380750910670555,2.2544437218607882e-05,Sim,LSTM
LSTM,XGBOOST,2.9948882610002627,0.0027454539620410667,Sim,XGBOOST
INFORMER,ENSEMBLE,-4.245882576909919,2.1773464374374996e-05,Sim,INFORMER
INFORMER,XGBOOST,2.7132346115566515,0.0066629914675488955,Sim,XGBOOST
ENSEMBLE,XGBOOST,4.250830996482546,2.1297883403548212e-05,Sim,XGBOOST
