variavel,descricao,unidade,origem,tipo,observacao,uso_treino,is_target,min,max,mean,std,missing
geracao_eolica_ne_mwmed,Variável geracao_eolica_ne_mwmed (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,False,True,916.7222368070832,15465.297979055042,6051.038689540893,3461.1656976398453,0
vel_vento_100m_lat3.7S_lon41.1W,Variável vel_vento_100m_lat3.7S_lon41.1W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,1.566465874996829,9.084276188646284,5.119126143281176,1.6274894759053533,0
vel_vento_100m_lat3.1S_lon39.7W,Variável vel_vento_100m_lat3.1S_lon39.7W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,2.7391109883185947,10.970969725831075,7.759296324528918,2.0383499067971718,0
vel_vento_100m_lat5.1S_lon36.4W,Variável vel_vento_100m_lat5.1S_lon36.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,3.7007901620521686,10.552258043629868,7.807513991911927,1.5435354025479542,0
vel_vento_100m_lat6.2S_lon36.4W,Variável vel_vento_100m_lat6.2S_lon36.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,3.0427499586430837,9.24083135524948,6.820420119421086,1.364472766197466,0
vel_vento_100m_lat8.9S_lon37.4W,Variável vel_vento_100m_lat8.9S_lon37.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,2.444415624001687,7.344979834668916,5.208825812767481,0.8931673235762801,0
vel_vento_100m_lat11.0S_lon38.8W,Variável vel_vento_100m_lat11.0S_lon38.8W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,3.342548880369186,5.635622383144613,5.127139854439718,0.37555186217118747,0
vel_vento_100m_lat10.4S_lon41.0W,Variável vel_vento_100m_lat10.4S_lon41.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,1.7857067159464115,8.624249379893394,5.758802339839215,1.422335307924794,0
vel_vento_100m_lat11.7S_lon42.0W,Variável vel_vento_100m_lat11.7S_lon42.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,1.5646820750776376,7.517343213890044,5.203803670257078,1.2317641286304226,0
vel_vento_100m_lat14.1S_lon42.5W,Variável vel_vento_100m_lat14.1S_lon42.5W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,1.3029710494588729,7.100090819113766,4.772126636828341,1.2558924459498797,0
vel_vento_100m_lat8.1S_lon41.0W,Variável vel_vento_100m_lat8.1S_lon41.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,1.7283242558620295,9.81930155881764,5.976649685646079,2.1017047567975577,0
sp_lat3.7S_lon41.1W,Variável sp_lat3.7S_lon41.1W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,97434.36680238452,101136.8203125,98307.0125111422,1248.1946062657669,0
sp_lat3.1S_lon39.7W,Variável sp_lat3.1S_lon39.7W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,100936.1740572162,101437.88106523451,101161.38651660111,119.64238604807085,0
sp_lat5.1S_lon36.4W,Variável sp_lat5.1S_lon36.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,100627.41070830896,101269.78188222858,100908.32774551981,145.7347590485697,0
sp_lat6.2S_lon36.4W,Variável sp_lat6.2S_lon36.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,98135.70178749796,100248.203125,98833.95232606797,502.449112607025,0
sp_lat8.9S_lon37.4W,Variável sp_lat8.9S_lon37.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,93656.03555611496,96513.6052389706,94239.98859819748,702.8455782542903,0
sp_lat11.0S_lon38.8W,Variável sp_lat11.0S_lon38.8W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,97715.1710118836,98959.98583984376,98775.85784820451,323.536622649212,0
sp_lat10.4S_lon41.0W,Variável sp_lat10.4S_lon41.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,93557.54673425989,96176.28125,94397.97071085619,708.7308897750305,0
sp_lat11.7S_lon42.0W,Variável sp_lat11.7S_lon42.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,89616.125,93574.1964121458,92305.9245806054,1059.830843759924,0
sp_lat14.1S_lon42.5W,Variável sp_lat14.1S_lon42.5W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,92493.67965326416,93392.84572645117,92898.58592920828,210.07441504596744,0
sp_lat8.1S_lon41.0W,Variável sp_lat8.1S_lon41.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,94261.99999999996,95736.14120200288,94866.06477987223,377.0496544665793,0
t2m_lat3.7S_lon41.1W,Variável t2m_lat3.7S_lon41.1W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,297.8229888085225,301.652497752012,299.8106477175451,0.9337340324354281,0
t2m_lat3.1S_lon39.7W,Variável t2m_lat3.1S_lon39.7W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,299.23143073305954,301.09165159886714,300.04297943295666,0.36660463945520183,0
t2m_lat5.1S_lon36.4W,Variável t2m_lat5.1S_lon36.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,298.3802460808804,301.28793324996604,300.01147262215636,0.6342536108397564,0
t2m_lat6.2S_lon36.4W,Variável t2m_lat6.2S_lon36.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,297.43452141417714,301.3124279578661,299.68658497885866,0.9562434187255316,0
t2m_lat8.9S_lon37.4W,Variável t2m_lat8.9S_lon37.4W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,293.01639899461884,302.503028420841,297.12297374911117,1.8920386352410448,0
t2m_lat11.0S_lon38.8W,Variável t2m_lat11.0S_lon38.8W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,296.0224304199219,301.6774443494815,296.7541415720619,1.5401321741565586,0
t2m_lat10.4S_lon41.0W,Variável t2m_lat10.4S_lon41.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,294.7485412070814,303.5868835449219,298.3612787799958,1.8522663639644472,0
t2m_lat11.7S_lon42.0W,Variável t2m_lat11.7S_lon42.0W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,291.97576904296875,300.9210686216834,296.6349900357454,1.7946470583739957,0
t2m_lat14.1S_lon42.5W,Variável t2m_lat14.1S_lon42.5W (não catalogada),desconhecida,desconhecida,desconhecido,Verificar manualmente,True,False,292.5907714570323,300.3895799697262,296.9371750924977,1.7543890101869495,0
