fase,config_key,L,H,W,modelo,RMSE_medio,RMSE_std,MAE_medio,n_rodadas,score_robustez
Fase3,L12_H12_W48,12,12,48,CNN,2765.5269097117907,540.3575203182095,2765.5269097117907,25,3035.7056698708957
Fase3,L12_H12_W48,12,12,48,LSTM,3232.2486144532513,424.9565458378434,3232.2486144532513,25,3444.726887372173
Fase3,L12_H12_W48,12,12,48,Informer,2436.2633165802695,757.7993239526276,2436.2633165802695,25,2815.1629785565833
Fase3,L12_H12_W48,12,12,48,Ensemble,2672.0681108862254,550.5590903275394,2672.0681108862254,25,2947.3476560499953
Fase3,L12_H12_W60,12,12,60,CNN,3237.8627987612617,394.853996695082,3237.8627987612617,13,3435.2897971088028
Fase3,L12_H12_W60,12,12,60,LSTM,4088.258934005589,210.77812982524225,4088.258934005589,13,4193.64799891821
Fase3,L12_H12_W60,12,12,60,Informer,2919.014330207338,1375.0051526446618,2919.014330207338,13,3606.5169065296686
Fase3,L12_H12_W60,12,12,60,Ensemble,3098.191272797546,823.8040787341615,3098.191272797546,13,3510.0933121646267
Fase3,L24_H12_W48,24,12,48,CNN,3017.929280158644,400.30169005910955,3017.929280158644,25,3218.0801251881985
Fase3,L24_H12_W48,24,12,48,LSTM,3299.108620149867,428.13693550101596,3299.108620149867,25,3513.1770879003748
Fase3,L24_H12_W48,24,12,48,Informer,2365.5939754163787,1323.4878650384971,2365.5939754163787,25,3027.3379079356273
Fase3,L24_H12_W48,24,12,48,Ensemble,2596.5249085804676,624.5024139871839,2596.5249085804676,25,2908.7761155740595
Fase3,L24_H12_W60,24,12,60,CNN,3371.3246406987982,342.556359139675,3371.3246406987982,13,3542.6028202686357
Fase3,L24_H12_W60,24,12,60,LSTM,3969.4193093561503,343.7528449581811,3969.4193093561503,13,4141.295731835241
Fase3,L24_H12_W60,24,12,60,Informer,2168.875084501039,633.0321895747876,2168.875084501039,13,2485.391179288433
Fase3,L24_H12_W60,24,12,60,Ensemble,2800.0912897261614,498.39505889558535,2800.0912897261614,13,3049.288819173954
