seed,arquitetura,val_rmse_scaled,val_mae_scaled,test_rmse_scaled,test_mae_scaled,n_epocas_efetivas
42,lstm_solo,0.24505654490585982,0.19608207521125745,0.7427420858409388,0.6204645455547636,35
1,lstm_solo,0.33571510199293686,0.28211652138937754,0.42012273030792835,0.3456282024077744,31
2,lstm_solo,0.289006980323531,0.2027237427067177,0.6672968701405887,0.5901995826013738,29
3,lstm_solo,0.4330109562040136,0.3583053988079865,0.5945347314651643,0.4811436049836957,28
4,lstm_solo,0.3734900601905089,0.31809800352296236,0.6132000581264534,0.5568156121430508,49
42,transformer_solo,0.5353325854026785,0.425551787941088,0.8641062868733101,0.6613685736546208,27
1,transformer_solo,0.4673030742291019,0.4107293146526927,0.8409963702731224,0.7314155794170681,24
2,transformer_solo,0.3238461511079663,0.2720294676143668,0.6019253635110297,0.46607095755042655,30
3,transformer_solo,0.3110404029451021,0.27718416984887867,0.6464761138479018,0.5044509498446771,25
4,transformer_solo,0.7431584166468745,0.6024271084384067,1.0406061189606062,0.7581377111965765,29
42,integrado,0.19090135393538693,0.14371662083686668,0.4389771775262458,0.36563868029385155,30
1,integrado,0.313552531266334,0.22886771775626244,0.38014815079287523,0.2774408796985099,24
2,integrado,0.3101952869794028,0.23460602953824075,0.4467651632928019,0.40223011723104096,23
3,integrado,0.32059035252064944,0.25713168114054086,0.45251971583173795,0.3581774219195492,24
4,integrado,0.3560717450491647,0.28312825335696584,0.5445728968490129,0.47320037056981074,25
