data,Ensemble_LOO,NEWAVE,IC_p05,IC_p95,Real_ONS
2025-01-01,9667.83,9534.0,7094.72,12240.93,7096.7803978457805
2025-02-01,9323.47,9885.0,6750.36,11896.57,10366.522114579808
2025-03-01,9551.9,9307.0,6978.79,12125.01,10701.555228491385
2025-04-01,10311.11,9113.0,7738.01,12884.22,9550.020455552029
2025-05-01,11615.28,11779.0,9042.17,14188.38,13435.560956985564
2025-06-01,12504.77,14409.0,9931.66,15077.88,13893.463218052377
2025-07-01,14400.48,16282.0,11827.38,16973.59,14195.32284408246
2025-08-01,15315.77,16940.0,12742.66,17888.88,14398.22463171719
2025-09-01,14963.52,16887.0,12390.41,17536.62,15880.440722218444
2025-10-01,13367.28,15862.0,10794.17,15940.39,14500.941262093183
2025-11-01,11783.38,12546.0,9210.27,14356.48,11375.155126385444
2025-12-01,10827.06,12198.0,8253.96,13400.17,10764.455865588268
2026-01-01,8909.79,10861.0,6336.68,11482.89,10612.600490587944
2026-02-01,7965.19,10603.0,5392.08,10538.29,7227.030264877336
2026-03-01,7573.54,9871.0,5000.43,10146.65,7408.412450265376
2026-04-01,8411.54,9606.0,5838.44,10984.65,9551.462997219083
2026-05-01,10439.47,12358.0,7866.37,13012.58,
2026-06-01,12649.09,15003.0,10075.98,15222.19,
2026-07-01,14421.01,16917.0,11847.91,16994.12,
2026-08-01,15506.92,17521.0,12933.82,18080.03,
2026-09-01,15646.6,17299.0,13073.5,18219.71,
2026-10-01,14596.43,16215.0,12023.33,17169.54,
2026-11-01,12857.7,12719.0,10284.6,15430.81,
2026-12-01,11773.04,12244.0,9199.93,14346.15,
2027-01-01,9601.25,10872.0,7028.14,12174.35,
2027-02-01,8375.17,10603.0,5802.06,10948.27,
2027-03-01,8018.95,9871.0,5445.85,10592.06,
2027-04-01,9042.55,9588.0,6469.44,11615.66,
2027-05-01,11141.82,12358.0,8568.72,13714.93,
2027-06-01,13497.5,14982.0,10924.39,16070.61,
2027-07-01,15438.69,16930.0,12865.58,18011.79,
2027-08-01,16895.51,17511.0,14322.41,19468.62,
2027-09-01,17056.06,17299.0,14482.95,19629.16,
2027-10-01,15760.17,16237.0,13187.06,18333.27,
2027-11-01,13824.47,12726.0,11251.36,16397.57,
2027-12-01,12616.79,12240.0,10043.69,15189.9,
2028-01-01,10232.03,10861.0,7658.93,12805.14,
2028-02-01,8976.26,10599.0,6403.15,11549.36,
2028-03-01,8675.93,9853.0,6102.82,11249.03,
2028-04-01,9809.56,9640.0,7236.46,12382.67,
2028-05-01,11994.22,12306.0,9421.11,14567.32,
2028-06-01,14400.76,15003.0,11827.66,16973.87,
2028-07-01,16414.05,16944.0,13840.94,18987.15,
2028-08-01,17919.0,17500.0,15345.9,20492.11,
2028-09-01,17961.43,17311.0,15388.33,20534.54,
2028-10-01,16649.32,16215.0,14076.22,19222.43,
2028-11-01,14641.08,12719.0,12067.98,17214.19,
2028-12-01,13310.05,12252.0,10736.95,15883.16,
2029-01-01,10891.64,11107.0,8318.53,13464.74,
2029-02-01,9629.37,10852.0,7056.26,12202.48,
2029-03-01,9358.69,10121.0,6785.59,11931.8,
2029-04-01,10621.61,9814.0,8048.51,13194.72,
2029-05-01,12917.64,12621.0,10344.54,15490.75,
2029-06-01,15327.65,15354.0,12754.54,17900.75,
2029-07-01,17410.68,17326.0,14837.58,19983.79,
2029-08-01,18858.25,17915.0,16285.15,21431.36,
2029-09-01,18794.84,17732.0,16221.74,21367.95,
2029-10-01,17445.68,16575.0,14872.57,20018.78,
2029-11-01,15394.08,13019.0,12820.97,17967.19,
2029-12-01,13926.65,12542.0,11353.54,16499.75,
