data,p05,mediana,p95
2025-01-01,7099.289240858313,9513.929397248721,11928.569553639129
2025-02-01,6997.487693862217,9412.127850252626,11826.768006643033
2025-03-01,7110.1563038620925,9524.7964602525,11939.43661664291
2025-04-01,8060.8137223182885,10475.453878708697,12890.094035099104
2025-05-01,9349.351148755253,11763.99130514566,14178.631461536068
2025-06-01,10123.719511754578,12538.359668144987,14952.999824535396
2025-07-01,11876.032597458896,14290.672753849305,16705.312910239714
2025-08-01,12770.215695304818,15184.855851695225,17599.496008085633
2025-09-01,12453.436535887038,14868.076692277446,17282.716848667853
2025-10-01,10913.304138111711,13327.944294502118,15742.584450892526
2025-11-01,9370.329696816902,11784.969853207309,14199.610009597716
2025-12-01,8501.491557677135,10916.131714067542,13330.77187045795
2026-01-01,6583.16733568683,8997.807492077238,11412.447648467645
2026-02-01,5660.843875982039,8075.4840323724475,10490.124188762857
2026-03-01,5209.365391584884,7624.005547975292,10038.6457043657
2026-04-01,5978.375715891457,8393.015872281865,10807.656028672274
2026-05-01,7869.097744714417,10283.737901104825,12698.378057495232
2026-06-01,10099.609215906323,12514.24937229673,14928.889528687137
2026-07-01,11867.479357409713,14282.11951380012,16696.759670190528
2026-08-01,12893.224834376779,15307.864990767186,17722.505147157593
2026-09-01,13166.086615855867,15580.726772246275,17995.366928636682
2026-10-01,12162.667748388012,14577.30790477842,16991.948061168827
2026-11-01,10483.000419612694,12897.640576003101,15312.280732393509
2026-12-01,9536.131582009239,11950.771738399646,14365.411894790053
2027-01-01,7357.955131465423,9772.595287855831,12187.235444246238
2027-02-01,6134.115099267211,8548.75525565762,10963.395412048027
2027-03-01,5704.593187156244,8119.233343546653,10533.87349993706
2027-04-01,6648.142912211782,9062.78306860219,11477.423224992599
2027-05-01,8619.650712272341,11034.290868662749,13448.931025053156
2027-06-01,10918.521323550962,13333.16147994137,15747.801636331777
2027-07-01,12778.293698447495,15192.933854837904,17607.574011228313
2027-08-01,14182.931694708714,16597.57185109912,19012.21200748953
2027-09-01,14459.493483144164,16874.13363953457,19288.77379592498
2027-10-01,13289.851240232078,15704.491396622485,18119.131553012892
2027-11-01,11388.028725995882,13802.66888238629,16217.309038776697
2027-12-01,10303.305259708392,12717.9454160988,15132.58557248921
2028-01-01,8005.389846061612,10420.03000245202,12834.67015884243
2028-02-01,6771.005813290617,9185.645969681025,11600.286126071434
2028-03-01,6338.513948924229,8753.154105314637,11167.794261705047
2028-04-01,7381.5902945456755,9796.230450936084,12210.870607326491
2028-05-01,9424.07109728047,11838.711253670877,14253.351410061285
2028-06-01,11805.754846223179,14220.395002613588,16635.035159003997
2028-07-01,13675.357067856508,16089.997224246918,18504.637380637327
2028-08-01,15104.913333867204,17519.55349025761,19934.19364664802
2028-09-01,15370.858804276038,17785.498960666446,20200.139117056853
2028-10-01,14217.521226307144,16632.16138269755,19046.80153908796
2028-11-01,12259.041382402549,14673.681538792956,17088.321695183364
2028-12-01,10966.354348080295,13380.994504470702,15795.63466086111
2029-01-01,8636.17801331111,11050.818169701517,13465.458326091924
2029-02-01,7439.068234106139,9853.708390496548,12268.348546886955
2029-03-01,6995.44972699524,9410.089883385648,11824.730039776055
2029-04-01,8198.717818104826,10613.357974495233,13027.99813088564
2029-05-01,10348.389739640661,12763.029896031068,15177.670052421476
2029-06-01,12797.188434973283,15211.82859136369,17626.468747754097
2029-07-01,14728.578184014674,17143.21834040508,19557.85849679549
2029-08-01,16112.261994490385,18526.902150880793,20941.5423072712
2029-09-01,16293.355703524965,18707.995859915372,21122.63601630578
2029-10-01,15114.153393674387,17528.793550064795,19943.433706455202
2029-11-01,13064.557285787687,15479.197442178094,17893.8375985685
2029-12-01,11614.946770134586,14029.586926524993,16444.2270829154
