Modelo,Bucket,N,RMSE,MAE,Bias,MAPE
Sazonal_Naive,1-3m,3,2443.1636517831244,2377.5770334380236,-993.8346323807036,25.69146494658132
Sazonal_Naive,4-6m,3,1962.2158613252998,1796.9259398542224,-1796.9259398542224,14.594033709374916
Sazonal_Naive,7-12m,6,1090.533283969132,934.1594812793477,934.1594812793477,7.443101323559047
Sazonal_Naive,13m+,4,1164.364021766443,994.2930937861593,427.97538474256544,12.583238398873858
Integrado_Fase2,1-3m,3,1672.0569869619753,1209.061343526816,1209.061343526816,15.675229306188957
Integrado_Fase2,4-6m,3,2065.273066849026,1715.7057135717125,420.8278213433708,15.879231536169891
Integrado_Fase2,7-12m,6,1601.2264369478287,1205.3114432821187,-1205.3114432821187,8.729148388049069
Integrado_Fase2,13m+,4,1618.4812663193977,1294.9387551802504,-1294.9387551802504,13.470179414524871
Persistencia_Sazonal,1-3m,3,2736.2965569299386,2257.948721350466,-2257.948721350466,22.066003629217438
Persistencia_Sazonal,4-6m,3,2132.013012834763,2092.4578632682747,-2092.4578632682747,17.614321372765406
Persistencia_Sazonal,7-12m,6,844.0032037933473,726.8871245036158,-225.82667259046866,5.406894046313781
Persistencia_Sazonal,13m+,4,2073.0010003796287,1768.83392151872,-837.9418392904729,19.48360121558422
Regressao_Linear,1-3m,3,2727.3436180030017,2579.8267047749005,-1676.7279219060877,26.549477066448272
Regressao_Linear,4-6m,3,2439.7206796940973,2261.4640992033414,-2261.4640992033414,18.03503792837522
Regressao_Linear,7-12m,6,789.3955399738602,598.6890837371138,356.79948396251956,4.7247172226881275
Regressao_Linear,13m+,4,927.2911003434323,840.8300052229845,-254.5500149687366,9.366936508458785
SARIMAX,1-3m,3,2544.9935867854233,2005.3514250295473,-2005.3514250295473,18.99116825139584
SARIMAX,4-6m,3,2987.3627250891395,2938.648996742417,-2938.648996742417,24.106862970433838
SARIMAX,7-12m,6,1839.3183888903243,1631.0758376877113,-1631.0758376877113,11.443763650396127
SARIMAX,13m+,4,1903.7357925049319,1589.4780835900558,-811.4863194769725,17.17859048136883
