data,Sazonal_Naive,Integrado_Fase2,Regressao_Linear,Persistencia_Sazonal,SARIMAX,Ensemble_Otimizado_LOO,IC_p05,IC_p95,ONS_real
2025-01-01,9172.39,10182.07,8451.43,6615.80,7073.33,9667.83,7094.72,12240.93,7096.78
2025-02-01,8475.05,10204.09,7394.45,8322.47,8228.94,9323.47,6750.36,11896.57,10366.52
2025-03-01,7535.91,11644.41,7288.80,6452.73,6846.54,9551.90,6978.79,12125.01,10701.56
2025-04-01,8246.36,12454.24,8202.28,7401.88,7117.40,10311.11,7738.01,12884.22,9550.02
2025-05-01,10526.24,12745.65,9922.97,10872.62,9753.01,11615.28,9042.17,14188.38,13435.56
2025-06-01,12715.67,12285.87,11969.41,12327.17,11192.69,12504.77,9931.66,15077.88,13893.46
2025-07-01,14561.21,14233.65,13895.61,13747.55,12495.36,14400.48,11827.38,16973.59,14195.32
2025-08-01,15997.56,14608.10,15188.13,14523.88,12820.80,15315.77,12742.66,17888.88,14398.22
2025-09-01,16198.16,13682.01,15454.49,14933.23,13062.69,14963.52,12390.41,17536.62,15880.44
2025-10-01,14962.72,11711.28,14665.90,13037.78,11995.68,13367.28,10794.17,15940.39,14500.94
2025-11-01,12945.23,10577.42,13034.28,12252.23,10759.68,11783.38,9210.27,14356.48,11375.16
2025-12-01,12054.62,9552.92,11016.93,11264.91,10193.87,10827.06,8253.96,13400.17,10764.46
2026-01-01,10023.53,7753.77,9125.74,7229.70,7644.77,8909.79,6336.68,11482.89,10612.60
2026-02-01,9255.44,6625.96,7964.63,9088.81,8751.47,7965.19,5392.08,10538.29,7227.03
2026-03-01,8224.54,6897.83,7843.37,7042.38,7439.96,7573.54,5000.43,10146.65,7408.41
2026-04-01,8994.21,7806.76,8833.88,8073.15,7703.67,8411.54,5838.44,10984.65,9551.46
2026-05-01,11473.70,9365.99,10703.09,11851.26,10216.34,10439.47,7866.37,13012.58,
2026-06-01,13851.67,11400.86,12924.93,13428.46,11589.31,12649.09,10075.98,15222.19,
2026-07-01,15852.48,12935.21,15013.26,14966.67,12830.63,14421.01,11847.91,16994.12,
2026-08-01,17405.79,13535.98,16409.75,15802.39,13142.90,15506.92,12933.82,18080.03,
2026-09-01,17613.67,13604.87,16688.86,16238.20,13375.69,15646.60,13073.50,18219.71,
2026-10-01,16260.82,12868.88,15821.32,14168.87,12367.23,14596.43,12023.33,17169.54,
2026-11-01,14060.24,11609.53,14039.25,13307.55,11199.94,12857.70,10284.60,15430.81,
2026-12-01,13085.51,10410.75,11840.61,12228.27,10668.93,11773.04,9199.93,14346.15,
2027-01-01,10874.66,8279.49,9781.38,7843.60,8261.18,9601.25,7028.14,12174.35,
2027-02-01,10035.83,6651.47,8516.15,9855.16,9315.12,8375.17,5802.06,10948.27,
2027-03-01,8913.17,7090.80,8379.27,7632.03,8081.32,8018.95,5445.85,10592.06,
2027-04-01,9742.07,8316.48,9446.81,8744.42,8337.77,9042.55,6469.44,11615.66,
2027-05-01,12421.15,9813.93,11464.54,12829.89,10718.46,11141.82,8568.72,13714.93,
2027-06-01,14987.67,11950.77,13861.78,14529.76,12020.79,13497.50,10924.39,16070.61,
2027-07-01,17143.75,13668.90,16112.25,16185.78,13197.69,15438.69,12865.58,18011.79,
2027-08-01,18814.03,14904.18,17612.70,17080.90,13497.29,16895.51,14322.41,19468.62,
2027-09-01,19029.18,15008.04,17904.57,17543.17,13721.83,17056.06,14482.95,19629.16,
2027-10-01,17558.91,13893.15,16958.07,15299.97,12776.75,15760.17,13187.06,18333.27,
2027-11-01,15175.24,12422.42,15025.56,14362.86,11683.18,13824.47,11251.36,16397.57,
2027-12-01,14116.41,11060.26,12645.62,13191.63,11189.74,12616.79,10043.69,15189.90,
2028-01-01,11725.79,8681.58,10418.36,8457.50,8931.16,10232.03,7658.93,12805.14,
2028-02-01,10816.22,7066.46,9049.00,10621.50,9930.26,8976.26,6403.15,11549.36,
2028-03-01,9601.80,7714.91,8896.51,8221.68,8778.13,8675.93,6102.82,11249.03,
2028-04-01,10489.92,9103.38,10041.07,9415.69,9027.33,9809.56,7236.46,12382.67,
2028-05-01,13368.61,10567.66,12207.33,13808.52,11271.35,11994.22,9421.11,14567.32,
2028-06-01,16123.67,12612.46,14779.97,15631.05,12501.20,14400.76,11827.66,16973.87,
2028-07-01,18435.02,14316.37,17192.56,17404.89,13612.41,16414.05,13840.94,18987.15,
2028-08-01,20222.26,15528.33,18796.98,18359.41,13899.97,17919.00,15345.90,20492.11,
2028-09-01,20444.69,15383.92,19101.61,18848.14,14117.05,17961.43,15388.33,20534.54,
2028-10-01,18857.01,14357.84,18076.15,16431.07,13238.07,16649.32,14076.22,19222.43,
2028-11-01,16290.25,12929.32,15993.20,15418.18,12220.87,14641.08,12067.98,17214.19,
2028-12-01,15147.30,11403.06,13431.96,14154.99,11766.53,13310.05,10736.95,15883.16,
2029-01-01,12576.93,9142.38,11036.66,9071.40,9660.70,10891.64,8318.53,13464.74,
2029-02-01,11596.61,7587.46,9563.19,11387.84,10604.32,9629.37,7056.26,12202.48,
2029-03-01,10290.43,8391.59,9395.07,8811.33,9535.58,9358.69,6785.59,11931.80,
2029-04-01,11237.78,9982.07,10616.67,10086.96,9777.73,10621.61,8048.51,13194.72,
2029-05-01,14316.07,11466.14,12931.45,14787.16,11883.75,12917.64,10344.54,15490.75,
2029-06-01,17259.68,13322.29,15679.49,16732.35,13040.98,15327.65,12754.54,17900.75,
2029-07-01,19726.28,15007.19,18254.21,18624.01,14086.64,17410.68,14837.58,19983.79,
2029-08-01,21630.49,15980.79,19962.59,19637.91,14362.90,18858.25,16285.15,21431.36,
2029-09-01,21860.20,15613.14,20279.99,20153.12,14573.32,18794.84,16221.74,21367.95,
2029-10-01,20155.10,14633.41,19175.57,17562.16,13761.47,17445.68,14872.57,20018.78,
2029-11-01,17405.25,13306.57,16942.17,16473.49,12821.48,15394.08,12820.97,17967.19,
2029-12-01,16178.20,11589.63,14199.63,15118.35,12406.86,13926.65,11353.54,16499.75,
