data,Sazonal_Naive,Integrado_Fase2,Persistencia_Sazonal,Regressao_Linear,SARIMAX,Ensemble_Otimizado_LOO
2025-01-01,9172.39399943176,9863.167053571782,6615.804370435247,8451.428572149,7073.327537252664,9513.929397248721
2025-02-01,8475.048668422132,10370.33991068158,8322.473395309265,7394.445093330759,8228.938816367148,9412.127850252626
2025-03-01,7535.911175920969,11558.53480724406,6452.733811121063,7288.800309718951,6846.537112208519,9524.7964602525
2025-04-01,8246.357274235748,12754.820757924654,7401.878906158101,8202.275014799741,7117.3966567905945,10475.453878708697
2025-05-01,10526.243123659357,13029.653010442968,10872.62389433871,9922.967836127873,9753.011327123253,11763.99130514566
2025-06-01,12715.666413132198,12357.05432625246,12327.168240288334,11969.409482052331,11192.689656448872,12538.359668144987
2025-07-01,14561.211963560589,14014.032381732744,13747.552349931471,13895.60777615273,12495.360294483098,14290.672753849305
2025-08-01,15997.557112386125,14353.826665881235,14523.8786589347,15188.134277862548,12820.803431286402,15184.855851695225
2025-09-01,16198.159425183829,13507.9981196753,14933.232402239792,15454.48699082439,13062.68800975809,14868.076692277446
2025-10-01,14962.72133898187,11656.299986842898,13037.778684940571,14665.895586543564,11995.683922592187,13327.944294502118
2025-11-01,12945.229401258532,10598.544294164592,12252.229702522709,13034.279686915905,10759.683466521685,11784.969853207309
2025-12-01,12054.618098390132,9751.970344095507,11264.908617972935,11016.93303756097,10193.866301317259,10916.131714067542
2026-01-01,10023.527604728595,7948.9554829576255,7229.704452147389,9125.73908190613,7644.771642671926,8997.807492077238
2026-02-01,9255.438974461167,6868.918911521559,9088.81442933383,7964.632019628299,8751.469205066536,8075.4840323724475
2026-03-01,8224.540697738994,7009.927213537188,7042.38287877057,7843.370676022909,7439.957038302342,7624.005547975292
2026-04-01,8994.212269157924,7778.261378379045,8073.148889702738,8833.876169684136,7703.674843167724,8393.015872281865
2026-05-01,11473.698663698902,9066.941309884493,11851.256785717,10703.089347791722,10216.342002322004,10283.737901104825
2026-06-01,13851.66867071853,11146.668780980151,13428.462541006358,12924.93033663304,11589.310739840532,12514.24937229673
2026-07-01,15852.479670483364,12676.344814578191,14966.66587174,15013.261105986989,12830.634715002077,14282.11951380012
2026-08-01,17405.791193959503,13162.62664936901,15802.387670058173,16409.749064634012,13142.896728867147,15307.864990767186
2026-09-01,17613.668430726844,13501.93849791996,16238.203195055487,16688.863481505447,13375.692574128341,15580.726772246275
2026-10-01,16260.816029278692,12855.8335406002,14168.87448635032,15821.31606538503,12367.22790430056,14577.30790477842
2026-11-01,14060.235016441846,11708.827468406427,13307.545486691079,14039.254585718769,11199.938495381406,12897.640576003101
2026-12-01,13085.513619592504,10790.439317068018,12228.26919449532,11840.608388454008,10668.926521136083,11950.771738399646
2027-01-01,10874.661210025432,8645.675729203536,7843.604533859531,9781.381752552648,8261.180916623607,9772.595287855831
2027-02-01,10035.829280500202,7028.144945468754,9855.155463358393,8516.151106815234,9315.115298811399,8548.75525565762
2027-03-01,8913.17021955702,7307.391714191115,7632.031946420077,8379.27320321626,8081.322843790332,8119.233343546653
2027-04-01,9742.0672640801,8368.179750988998,8744.418873247376,9446.809485457927,8337.766340853686,9062.78306860219
2027-05-01,12421.154203738452,9616.151185695544,12829.889677095289,11464.543020344961,10718.464385120073,11034.290868662749
2027-06-01,14987.67092830486,11641.339765986855,14529.75684172438,13861.783352103143,12020.789250595266,13333.16147994137
2027-07-01,17143.74737740614,13198.125858654168,16185.779393548532,16112.24659671064,13197.689928556329,15192.933854837904
2027-08-01,18814.02527553288,14331.13327914964,17080.896681181646,17612.69601229487,13497.288131200117,16597.57185109912
2027-09-01,19029.17743626985,14670.489596615387,17543.173987871178,17904.572133075893,13721.82694926934,16874.13363953457
2027-10-01,17558.910719575517,13808.251468556811,15299.970287760068,16958.068705115886,12776.753862042988,15704.491396622485
2027-11-01,15175.240631625158,12399.143087100125,14362.861270859448,15025.561645411022,11683.180944928788,13802.66888238629
2027-12-01,14116.409140794882,11287.943733147553,13191.629771017711,12645.615900236438,11189.739253514968,12717.9454160988
2028-01-01,11725.79481532227,9084.817764216255,8457.504615571675,10418.356584088562,8931.162798625519,10420.03000245202
2028-02-01,10816.219586539237,7518.29988475495,10621.496497382956,9049.002354891561,9930.260803829102,9185.645969681025
2028-03-01,9601.799741375044,7885.369931606914,8221.681014069583,8896.507891299003,8778.13233420934,8753.154105314637
2028-04-01,10489.922259002278,9086.89460227134,9415.688856792014,10041.074962121107,9027.329864761015,9796.230450936084
2028-05-01,13368.609743778,10274.310706868557,13808.522568473576,12207.328853787596,11271.349009376143,11838.711253670877
2028-06-01,16123.673185891192,12274.194356041326,15631.051142442402,14779.968528462634,12501.20206288938,14220.395002613588
2028-07-01,18435.01508432892,13692.094849484378,17404.892915357064,17192.564248323684,13612.407617712379,16089.997224246918
2028-08-01,20222.259357106253,14755.896578845268,18359.40569230512,18796.97512084512,13899.969839592053,17519.55349025761
2028-09-01,20444.686441812868,15066.341855501863,18848.144780686875,19101.612945535733,14117.050923916086,17785.498960666446
2028-10-01,18857.005409872338,14357.142984307991,16431.066089169817,18076.15350573614,13238.069646821583,16632.16138269755
2028-11-01,16290.246246808474,13020.660289661757,15418.177055027822,15993.200865992674,12220.86570021338,14673.681538792956
2028-12-01,15147.304661997256,11574.85076740253,14154.990347540099,13431.955572908259,11766.531063246266,13380.994504470702
2029-01-01,12576.928420619106,9490.291293928904,9071.404697283817,11036.66357651387,9660.699756807515,11050.818169701517
2029-02-01,11596.609892578272,8071.501217595605,11387.837531407522,9563.185763857282,10604.320590835147,9853.708390496548
